Location,Model,R2,RMSE,MAE
S1,CNN,0.9998847437408394,1.1767587676412166,0.9097887335883248
S1,RNN,1.0,1.153318817018494,0.893008829752604
S1,GRU,-1.0,30.807100357794223,30.360710267623265
S1,LSTM,-0.6992842433416707,28.400284523487084,27.915436182816823
S1,MA CNN,0.9996213347960046,1.2286511928911097,0.9480587927500408
S1,MA RNN,0.8887410328913068,7.352063416085762,5.436988462871976
S1,MA GRU,0.9526665052267818,4.87444765578124,3.9111406919691296
S1,MA LSTM,0.9836235420788416,3.0150482725693184,2.512875562243991
S1,DReg CNN,0.9983271063700048,1.4570121805579008,1.0864234129587809
S1,DReg RNN,0.8633998372969582,8.127814046581262,6.299383400811089
S1,DReg GRU,0.8848631826330118,7.475991406311559,5.560327635871039
S1,DReg LSTM,0.9444476204451056,5.2587976601808935,4.206080473793878
S1,MA DReg CNN,0.9997217603729752,1.2091297364942968,0.9328839630550808
S1,MA DReg RNN,0.9007194734073061,6.955326679346221,5.089007578955756
S1,MA DReg GRU,0.8920143454565563,7.2458056778136335,5.338126091427274
S1,MA DReg LSTM,0.8814308022673185,7.583993809267429,5.676772099600898
S1,HY CNN LSTM,0.506023795188044,15.34315640789448,14.425950395796033
S1,HY LSTM RNN GRU,0.8923895576213838,7.233525887476053,5.328745300504896
S1,HY CNN RNN GRU,0.942192985855528,5.359418321026801,4.281994141472711
S1,HY CNN GRU,0.4957410040891865,15.501135192186736,14.593853130340577
S1,HY RNN GRU,0.5307236729501368,14.956865563133247,14.01437801890903
S1,HY RNN LSTM,0.51218716652935,15.247681440789147,14.32437886238098
S1,MA HY CNN LSTM,0.4977037385342229,15.47110545897151,14.561955320570204
S1,MA HY LSTM RNN GRU,0.8898057225841485,7.317670947069463,5.405100428263347
S1,MA HY CNN RNN GRU,0.9423027419591016,5.354563867860489,4.283732265896267
S1,MA HY CNN GRU,0.4285620517021142,16.496045805575342,15.6465635310279
S1,MA HY RNN GRU,0.5200096290583753,15.125638184733605,14.194302824868096
S1,MA HY RNN LSTM,0.5029100038374474,15.391166044563606,14.476995363235472
S2,CNN,0.999418312588578,1.1535073206474318,0.8548920906914605
S2,RNN,1.0,1.0193823089821328,0.753069126341078
S2,GRU,-0.8540535684501299,30.49529242906642,30.020739238527085
S2,LSTM,-1.0,31.671523457571297,31.21485738065508
S2,MA CNN,0.9994490068508444,1.146821958050526,0.8518659273783366
S2,MA RNN,0.8834750476014877,7.708491197331319,5.843434580696954
S2,MA GRU,0.9597452342373224,4.605182839807281,3.734019014570448
S2,MA LSTM,0.996970109895784,1.5991201681396383,1.3028103160858155
S2,DReg CNN,0.9966597517996992,1.647022129947164,1.281548629336887
S2,DReg RNN,0.8776663743650281,7.895005774482671,6.052155388726129
S2,DReg GRU,0.9053771206602188,6.960416033952727,5.1572881603240965
S2,DReg LSTM,0.947489665802628,5.229534609489456,4.341110118230184
S2,MA DReg CNN,0.999624339058866,1.1078606013412362,0.820664308336046
S2,MA DReg RNN,0.8866047089735065,7.6061030630854845,5.739891028934055
S2,MA DReg GRU,0.9152865088467328,6.594130624339921,4.918330239189995
S2,MA DReg LSTM,0.897760276911798,7.229357250337178,5.396743077172173
S2,HY CNN LSTM,0.5250609979116856,15.45944905752809,14.500919369591609
S2,HY LSTM RNN GRU,0.906331230301754,6.925991652303326,5.129715135362413
S2,HY CNN RNN GRU,0.941271956508192,5.519352171879881,4.540137588712905
S2,HY CNN GRU,0.5311519472409882,15.360431591308602,14.395303091473048
S2,HY RNN GRU,0.4768105324741121,16.22248946146933,15.311799421310424
S2,HY RNN LSTM,0.555636721931628,14.955782167608897,13.962866333855525
S2,MA HY CNN LSTM,0.6174745392781937,13.881399191460044,12.805315707524615
S2,MA HY LSTM RNN GRU,0.9014221078964352,7.101333975776595,5.278602132797242
S2,MA HY CNN RNN GRU,0.9406613596636384,5.546996623290803,4.543188445832994
S2,MA HY CNN GRU,0.4961042588163282,15.921763758675134,14.992808978822495
S2,MA HY RNN GRU,0.5482758518718669,15.078573751978416,14.094061322742036
S2,MA HY RNN LSTM,0.5630111787403513,14.831744564298807,13.829873350991145
S3,CNN,0.9995137007313516,1.139534211705929,0.928796612421672
S3,RNN,1.0,1.0290267409105411,0.7940764957004125
S3,GRU,-1.0,31.41072803258181,30.949843487209744
S3,LSTM,-0.6721622452533974,28.724197079921638,28.219469760258992
S3,MA CNN,0.9994817732094572,1.146416897283832,0.9093678855896
S3,MA RNN,0.8983242115526231,7.152863102107887,5.319283610449896
S3,MA GRU,0.9534576115085472,4.898408097985556,3.883053899341159
S3,MA LSTM,0.9810429226725657,3.2250125896780126,2.776115239461263
S3,DReg CNN,0.9974654642922348,1.51917196917723,1.0934894127315944
S3,DReg RNN,0.8849930783875748,7.598214654695078,5.76294079568651
S3,DReg GRU,0.9040385509442076,6.953236347731553,5.133557656606038
S3,DReg LSTM,0.9437390719562204,5.365032750140776,4.272147390577528
S3,MA DReg CNN,0.9994911144543306,1.14440746849734,0.9373809793260366
S3,MA DReg RNN,0.8746214173717384,7.92741386127525,6.107891128328111
S3,MA DReg GRU,0.8918380340785923,7.372906994075284,5.530735277599758
S3,MA DReg LSTM,0.9123548551699444,6.652016625830809,4.87815936088562
S3,HY CNN LSTM,0.5256024100751315,15.32436243466163,14.356049379772609
S3,HY LSTM RNN GRU,0.9122224500248676,6.656919166307641,4.882115069495307
S3,HY CNN RNN GRU,0.9409430356174991,5.491942104827319,4.365365658866035
S3,HY CNN GRU,0.5315049961356761,15.229161617735276,14.254324967066443
S3,HY RNN GRU,0.5331723925566152,15.202160751542982,14.225485776265462
S3,HY RNN LSTM,0.5132551434418213,15.52161919103308,14.566469590928818
S3,MA HY CNN LSTM,0.4853176814455224,15.958943997642375,15.03154945479499
S3,MA HY LSTM RNN GRU,0.9039839466604612,6.95517102695831,5.135881946351792
S3,MA HY CNN RNN GRU,0.9409359815278642,5.492258574553623,4.365395620134142
S3,MA HY CNN GRU,0.581089425278831,14.404609616458398,13.369808330535887
S3,MA HY RNN GRU,0.4250058995597301,16.864423616346897,15.989592659208508
S3,MA HY RNN LSTM,0.5753581985579921,14.502312054182989,13.474995455212062
S4,CNN,0.9997921291264016,1.0848916828176716,0.859002260631985
S4,RNN,1.0,1.0356858148272494,0.8141013982560897
S4,GRU,-1.0,31.70192135497028,31.27794585545858
S4,LSTM,-0.5037840796393591,27.494117868467534,27.004158866935303
S4,MA CNN,0.9995834671891124,1.1321359943810236,0.8933662456936307
S4,MA RNN,0.917988921625605,6.499208581521511,4.771482503679064
S4,MA GRU,0.9575151209951231,4.732733062700104,3.7369555642869736
S4,MA LSTM,0.9748489905566466,3.701038625974417,2.937842832141452
S4,DReg CNN,0.9997011041354508,1.105749402212133,0.8745046043395996
S4,DReg RNN,0.8845365888916099,7.68321324756323,5.9610932551489935
S4,DReg GRU,0.9045680947681524,6.998325449050087,5.194039040671455
S4,DReg LSTM,0.957190033552658,4.749941710354174,3.811696927812364
S4,MA DReg CNN,0.9998068023722012,1.0814917661841223,0.8598461627960203
S4,MA DReg RNN,0.8887913650234185,7.542943562899221,5.79975452846951
S4,MA DReg GRU,0.9049322029162332,6.985255032880443,5.179725130928888
S4,MA DReg LSTM,0.9017828519881566,7.097511272036695,5.301859727435643
S4,HY CNN LSTM,0.6042423009950135,14.132620900943277,13.154084516101411
S4,HY LSTM RNN GRU,0.8869223251810343,7.604879929981764,5.872538740370008
S4,HY CNN RNN GRU,0.9600506654219858,4.596302433034295,3.47326397895813
S4,HY CNN GRU,0.5434163270184074,15.17444438916151,14.267503519058227
S4,HY RNN GRU,0.5583993705872683,14.924568011798724,14.001435563829212
S4,HY RNN LSTM,0.5529222226433275,15.016394108640975,14.099376724031238
S4,MA HY CNN LSTM,0.5469912720760928,15.115199265252867,14.204504244062637
S4,MA HY LSTM RNN GRU,0.9099124759337808,6.803957839991142,5.008021330303617
S4,MA HY CNN RNN GRU,0.9468321273641088,5.268899328663549,4.238401414023505
S4,MA HY CNN GRU,0.5742236863472783,14.65603647321286,13.714863478342693
S4,MA HY RNN GRU,0.5430825193186397,15.179964553077616,14.273390656577217
S4,MA HY RNN LSTM,0.5710954643774588,14.709509760424307,13.772052121692234
