Metrics,Model Category,Model,y
MSE,General,CNN,1.1769899634469594
MSE,General,RNN,1.0726451070343836
MSE,General,GRU,1005.0118175967206
MSE,General,LSTM,755.9265173651856
MSE,MA,CNN,1.281731909773109
MSE,MA,RNN,42.23971218612286
MSE,MA,GRU,22.398762242774712
MSE,MA,LSTM,13.6976869109546
MSE,DReg,CNN,1.2226817404924897
MSE,DReg,RNN,59.031765807531116
MSE,DReg,GRU,48.97655909082211
MSE,DReg,LSTM,22.561946251762336
MSE,MA DReg,CNN,1.1696244403240526
MSE,MA DReg,RNN,56.89599759308279
MSE,MA DReg,GRU,48.79378787438155
MSE,MA DReg,LSTM,50.37466625668795
MSE,HY,CNN LSTM,199.73097352977868
MSE,HY,LSTM RNN GRU,57.83419874943944
MSE,HY,CNN RNN GRU,21.125996055916985
MSE,HY,CNN GRU,230.2637625197552
MSE,HY,RNN GRU,222.7427303388057
MSE,HY,RNN LSTM,225.4920920260274
MSE,MA HY,CNN LSTM,228.4692488283008
MSE,MA HY,LSTM RNN GRU,46.29384228837692
MSE,MA HY,CNN RNN GRU,27.761300135591195
MSE,MA HY,CNN GRU,214.79940510414565
MSE,MA HY,RNN GRU,230.43132383269293
MSE,MA HY,RNN LSTM,216.369677392018
RMSE,General,CNN,1.0848916828176716
RMSE,General,RNN,1.0356858148272494
RMSE,General,GRU,31.701921354970278
RMSE,General,LSTM,27.494117868467534
RMSE,MA,CNN,1.1321359943810236
RMSE,MA,RNN,6.499208581521511
RMSE,MA,GRU,4.732733062700104
RMSE,MA,LSTM,3.701038625974417
RMSE,DReg,CNN,1.105749402212133
RMSE,DReg,RNN,7.68321324756323
RMSE,DReg,GRU,6.998325449050087
RMSE,DReg,LSTM,4.749941710354174
RMSE,MA DReg,CNN,1.0814917661841223
RMSE,MA DReg,RNN,7.542943562899221
RMSE,MA DReg,GRU,6.985255032880443
RMSE,MA DReg,LSTM,7.097511272036695
RMSE,HY,CNN LSTM,14.132620900943275
RMSE,HY,LSTM RNN GRU,7.604879929981764
RMSE,HY,CNN RNN GRU,4.596302433034295
RMSE,HY,CNN GRU,15.17444438916151
RMSE,HY,RNN GRU,14.924568011798723
RMSE,HY,RNN LSTM,15.016394108640975
RMSE,MA HY,CNN LSTM,15.115199265252867
RMSE,MA HY,LSTM RNN GRU,6.803957839991142
RMSE,MA HY,CNN RNN GRU,5.268899328663549
RMSE,MA HY,CNN GRU,14.65603647321286
RMSE,MA HY,RNN GRU,15.179964553077617
RMSE,MA HY,RNN LSTM,14.709509760424309
MAE,General,CNN,0.859002260631985
MAE,General,RNN,0.8141013982560897
MAE,General,GRU,31.27794585545858
MAE,General,LSTM,27.004158866935306
MAE,MA,CNN,0.8933662456936307
MAE,MA,RNN,4.771482503679064
MAE,MA,GRU,3.7369555642869736
MAE,MA,LSTM,2.937842832141452
MAE,DReg,CNN,0.8745046043395996
MAE,DReg,RNN,5.9610932551489935
MAE,DReg,GRU,5.194039040671455
MAE,DReg,LSTM,3.8116969278123642
MAE,MA DReg,CNN,0.8598461627960203
MAE,MA DReg,RNN,5.79975452846951
MAE,MA DReg,GRU,5.179725130928888
MAE,MA DReg,LSTM,5.301859727435643
MAE,HY,CNN LSTM,13.154084516101413
MAE,HY,LSTM RNN GRU,5.8725387403700084
MAE,HY,CNN RNN GRU,3.47326397895813
MAE,HY,CNN GRU,14.267503519058229
MAE,HY,RNN GRU,14.001435563829212
MAE,HY,RNN LSTM,14.099376724031238
MAE,MA HY,CNN LSTM,14.204504244062637
MAE,MA HY,LSTM RNN GRU,5.008021330303617
MAE,MA HY,CNN RNN GRU,4.238401414023505
MAE,MA HY,CNN GRU,13.714863478342693
MAE,MA HY,RNN GRU,14.273390656577217
MAE,MA HY,RNN LSTM,13.772052121692234
R2,General,CNN,0.9997921291264016
R2,General,RNN,1.0
R2,General,GRU,-1.0
R2,General,LSTM,-0.5037840796393591
R2,MA,CNN,0.9995834671891124
R2,MA,RNN,0.917988921625605
R2,MA,GRU,0.9575151209951231
R2,MA,LSTM,0.9748489905566466
R2,DReg,CNN,0.9997011041354507
R2,DReg,RNN,0.8845365888916099
R2,DReg,GRU,0.9045680947681523
R2,DReg,LSTM,0.957190033552658
R2,MA DReg,CNN,0.9998068023722011
R2,MA DReg,RNN,0.8887913650234185
R2,MA DReg,GRU,0.9049322029162332
R2,MA DReg,LSTM,0.9017828519881566
R2,HY,CNN LSTM,0.6042423009950135
R2,HY,LSTM RNN GRU,0.8869223251810343
R2,HY,CNN RNN GRU,0.9600506654219858
R2,HY,CNN GRU,0.5434163270184074
R2,HY,RNN GRU,0.5583993705872683
R2,HY,RNN LSTM,0.5529222226433275
R2,MA HY,CNN LSTM,0.5469912720760928
R2,MA HY,LSTM RNN GRU,0.9099124759337807
R2,MA HY,CNN RNN GRU,0.9468321273641089
R2,MA HY,CNN GRU,0.5742236863472783
R2,MA HY,RNN GRU,0.5430825193186397
R2,MA HY,RNN LSTM,0.5710954643774588
