Metrics,Model Category,Model,y
MSE,General,CNN,0.051441311278307124
MSE,General,RNN,0.035012002019360694
MSE,General,GRU,0.8476579766305119
MSE,General,LSTM,0.026010438718808704
MSE,MA,CNN,0.12670589575489025
MSE,MA,RNN,0.07785955317871208
MSE,MA,GRU,0.16852782750524073
MSE,MA,LSTM,0.16390295462359597
MSE,DReg,CNN,0.08850148115774871
MSE,DReg,RNN,0.02531939782644568
MSE,DReg,GRU,0.027071240136492508
MSE,DReg,LSTM,0.02219284619930202
MSE,MA DReg,CNN,1.1935118361154697
MSE,MA DReg,RNN,0.05938158126973045
MSE,MA DReg,GRU,0.1227581315537666
MSE,MA DReg,LSTM,0.15463825615870835
MSE,HY,CNN LSTM,0.02322057713470687
MSE,HY,LSTM RNN GRU,0.022724212461292945
MSE,HY,CNN RNN GRU,0.03242521289096419
MSE,HY,CNN GRU,0.028184938645374587
MSE,HY,RNN GRU,0.02194234518316678
MSE,HY,RNN LSTM,0.021800944823523807
MSE,MA HY,CNN LSTM,0.17936645091852887
MSE,MA HY,LSTM RNN GRU,0.23845771765958107
MSE,MA HY,CNN RNN GRU,0.600161053795092
MSE,MA HY,CNN GRU,0.35346581778646213
MSE,MA HY,RNN GRU,0.11751316905707886
MSE,MA HY,RNN LSTM,0.0728150136240957
RMSE,General,CNN,0.22680677079467254
RMSE,General,RNN,0.18711494333526837
RMSE,General,GRU,0.92068342910607
RMSE,General,LSTM,0.16127752081058508
RMSE,MA,CNN,0.3559577162457505
RMSE,MA,RNN,0.2790332474432251
RMSE,MA,GRU,0.4105214093141072
RMSE,MA,LSTM,0.404849298657656
RMSE,DReg,CNN,0.2974919850311075
RMSE,DReg,RNN,0.15912070206747356
RMSE,DReg,GRU,0.16453340127917038
RMSE,DReg,LSTM,0.1489726357399305
RMSE,MA DReg,CNN,1.0924796730902913
RMSE,MA DReg,RNN,0.2436833627265728
RMSE,MA DReg,GRU,0.3503685653048324
RMSE,MA DReg,LSTM,0.3932407102001373
RMSE,HY,CNN LSTM,0.15238299490004412
RMSE,HY,LSTM RNN GRU,0.15074552219317477
RMSE,HY,CNN RNN GRU,0.18007002218849252
RMSE,HY,CNN GRU,0.16788370571730477
RMSE,HY,RNN GRU,0.14812948789206956
RMSE,HY,RNN LSTM,0.14765143014384863
RMSE,MA HY,CNN LSTM,0.4235167658057103
RMSE,MA HY,LSTM RNN GRU,0.48832132623875957
RMSE,MA HY,CNN RNN GRU,0.7747006220438267
RMSE,MA HY,CNN GRU,0.5945299132814615
RMSE,MA HY,RNN GRU,0.3428019385258474
RMSE,MA HY,RNN LSTM,0.2698425719268472
MAE,General,CNN,0.17431416377632156
MAE,General,RNN,0.14938172782460846
MAE,General,GRU,0.7907045131259495
MAE,General,LSTM,0.12614944651722906
MAE,MA,CNN,0.31003912952211166
MAE,MA,RNN,0.22638099617428253
MAE,MA,GRU,0.33938308450910776
MAE,MA,LSTM,0.29660790251360997
MAE,DReg,CNN,0.26696084562275146
MAE,DReg,RNN,0.12566593816296923
MAE,DReg,GRU,0.13092207700841954
MAE,DReg,LSTM,0.11289213513334591
MAE,MA DReg,CNN,0.9366613772842618
MAE,MA DReg,RNN,0.18687738276190227
MAE,MA DReg,GRU,0.2943118529849582
MAE,MA DReg,LSTM,0.32606900095939634
MAE,HY,CNN LSTM,0.11375434618029329
MAE,HY,LSTM RNN GRU,0.11989984101176056
MAE,HY,CNN RNN GRU,0.1337225354462862
MAE,HY,CNN GRU,0.12633908963037863
MAE,HY,RNN GRU,0.12120305261354788
MAE,HY,RNN LSTM,0.11685183566477564
MAE,MA HY,CNN LSTM,0.32543362839354406
MAE,MA HY,LSTM RNN GRU,0.34940049290657044
MAE,MA HY,CNN RNN GRU,0.5787728496392569
MAE,MA HY,CNN GRU,0.4816215369436476
MAE,MA HY,RNN GRU,0.26720188038216697
MAE,MA HY,RNN LSTM,0.20892543269528285
R2,General,CNN,0.9494066895254318
R2,General,RNN,0.9774499711592335
R2,General,GRU,-0.4096600756119724
R2,General,LSTM,0.9928147908727838
R2,MA,CNN,0.8209371412163002
R2,MA,RNN,0.9043132418213213
R2,MA,GRU,0.7495510474944318
R2,MA,LSTM,0.7574452693814457
R2,DReg,CNN,0.8861484742867247
R2,DReg,RNN,0.9939943325114231
R2,DReg,GRU,0.9910041028855552
R2,DReg,LSTM,0.9993310613075448
R2,MA DReg,CNN,-1.0
R2,MA DReg,RNN,0.9358533974114223
R2,MA DReg,GRU,0.8276756024364922
R2,MA DReg,LSTM,0.7732592360070736
R2,HY,CNN LSTM,0.9975768215150451
R2,HY,LSTM RNN GRU,0.998424069205756
R2,HY,CNN RNN GRU,0.9818653762691822
R2,HY,CNN GRU,0.9891031245518056
R2,HY,RNN GRU,0.9997586429200349
R2,HY,RNN LSTM,1.0
R2,MA HY,CNN LSTM,0.7310505394017959
R2,MA HY,LSTM RNN GRU,0.6301873193357994
R2,MA HY,CNN RNN GRU,0.01279383289872893
R2,MA HY,CNN GRU,0.4338793375945502
R2,MA HY,RNN GRU,0.836628258822411
R2,MA HY,RNN LSTM,0.9129237951448537
