Metrics,Model Category,Model,y
MSE,General,CNN,12.801126225848318
MSE,General,RNN,61.08152317731518
MSE,General,GRU,947.2915675342252
MSE,General,LSTM,955.3259253055209
MSE,MA,CNN,23.014598783225974
MSE,MA,RNN,56.50525288556744
MSE,MA,GRU,21.500425437847714
MSE,MA,LSTM,19.46994948369159
MSE,DReg,CNN,71.59045049992089
MSE,DReg,RNN,64.34696760897071
MSE,DReg,GRU,52.85405716449972
MSE,DReg,LSTM,8.452231243953143
MSE,MA DReg,CNN,167.4991288158095
MSE,MA DReg,RNN,63.51195451554791
MSE,MA DReg,GRU,48.549733400312974
MSE,MA DReg,LSTM,48.730338726675775
MSE,HY,CNN LSTM,205.39037749635574
MSE,HY,LSTM RNN GRU,57.592393605591546
MSE,HY,CNN RNN GRU,29.98188713432555
MSE,HY,CNN GRU,245.55332929373904
MSE,HY,RNN GRU,226.16773723574164
MSE,HY,RNN LSTM,202.219079781156
MSE,MA HY,CNN LSTM,231.7870962593061
MSE,MA HY,LSTM RNN GRU,52.046309467740485
MSE,MA HY,CNN RNN GRU,30.277645371959213
MSE,MA HY,CNN GRU,232.55453204170564
MSE,MA HY,RNN GRU,222.596587622579
MSE,MA HY,RNN LSTM,220.07485175247766
RMSE,General,CNN,3.577866155384843
RMSE,General,RNN,7.815466919980865
RMSE,General,GRU,30.778102078169557
RMSE,General,LSTM,30.908347178481105
RMSE,MA,CNN,4.79735331023534
RMSE,MA,RNN,7.516997597815728
RMSE,MA,GRU,4.636855123663851
RMSE,MA,LSTM,4.412476570327778
RMSE,DReg,CNN,8.46111402239214
RMSE,DReg,RNN,8.021656163721474
RMSE,DReg,GRU,7.270079584468091
RMSE,DReg,LSTM,2.9072721310453797
RMSE,MA DReg,CNN,12.942145448719447
RMSE,MA DReg,RNN,7.969438782972607
RMSE,MA DReg,GRU,6.967763873748376
RMSE,MA DReg,LSTM,6.980711906867077
RMSE,HY,CNN LSTM,14.331447152899658
RMSE,HY,LSTM RNN GRU,7.588965252627761
RMSE,HY,CNN RNN GRU,5.475571854548669
RMSE,HY,CNN GRU,15.670141329730853
RMSE,HY,RNN GRU,15.038874201074416
RMSE,HY,RNN LSTM,14.22037551477302
RMSE,MA HY,CNN LSTM,15.22455569989831
RMSE,MA HY,LSTM RNN GRU,7.214312820202662
RMSE,MA HY,CNN RNN GRU,5.502512641690086
RMSE,MA HY,CNN GRU,15.249738753228058
RMSE,MA HY,RNN GRU,14.91967116335273
RMSE,MA HY,RNN LSTM,14.834920011664291
MAE,General,CNN,2.6986726231045193
MAE,General,RNN,6.596716245015462
MAE,General,GRU,30.3079773595598
MAE,General,LSTM,30.440234052870007
MAE,MA,CNN,4.042377456029255
MAE,MA,RNN,5.653935435612997
MAE,MA,GRU,4.112642784118652
MAE,MA,LSTM,3.0245843410491946
MAE,DReg,CNN,7.220173916286892
MAE,DReg,RNN,6.196839023166232
MAE,DReg,GRU,5.433058279885186
MAE,DReg,LSTM,2.326193996005588
MAE,MA DReg,CNN,11.63749112976922
MAE,MA DReg,RNN,6.135335392422146
MAE,MA DReg,GRU,5.163870605892606
MAE,MA DReg,LSTM,5.174498537911309
MAE,HY,CNN LSTM,13.291813268661498
MAE,HY,LSTM RNN GRU,5.724017782211304
MAE,HY,CNN RNN GRU,4.539763912624783
MAE,HY,CNN GRU,14.725326936509873
MAE,HY,RNN GRU,14.051666022406684
MAE,HY,RNN LSTM,13.172067431343926
MAE,MA HY,CNN LSTM,14.250229200787013
MAE,MA HY,LSTM RNN GRU,5.382448929680718
MAE,MA HY,CNN RNN GRU,4.538323296440972
MAE,MA HY,CNN GRU,14.27709881570604
MAE,MA HY,RNN GRU,13.92398757510715
MAE,MA HY,RNN LSTM,13.833230125639172
R2,General,CNN,0.9908142025506259
R2,General,RNN,0.8888356656998015
R2,General,GRU,-0.9830297159553929
R2,General,LSTM,-1.0
R2,MA,CNN,0.9692411614545795
R2,MA,RNN,0.8985017284924386
R2,MA,GRU,0.9724394197964781
R2,MA,LSTM,0.9767282198062162
R2,DReg,CNN,0.8666385608725922
R2,DReg,RNN,0.8819383478164657
R2,DReg,GRU,0.9062138357015979
R2,DReg,LSTM,1.0
R2,MA DReg,CNN,0.6640588949311019
R2,MA DReg,RNN,0.8837020742747244
R2,MA DReg,GRU,0.915305489194945
R2,MA DReg,LSTM,0.9149240120718705
R2,HY,CNN LSTM,0.5840244639015237
R2,HY,LSTM RNN GRU,0.8962054544976232
R2,HY,CNN RNN GRU,0.9545247565215971
R2,HY,CNN GRU,0.49919170943961366
R2,HY,RNN GRU,0.5401382309864187
R2,HY,RNN LSTM,0.590722923759663
R2,MA HY,CNN LSTM,0.5282689414311021
R2,MA HY,LSTM RNN GRU,0.9079199718036464
R2,MA HY,CNN RNN GRU,0.9539000517917293
R2,MA HY,CNN GRU,0.5266479527243451
R2,MA HY,RNN GRU,0.5476812636750648
R2,MA HY,RNN LSTM,0.5530077098228809
