Metrics,ModelCat,Model,y
MSE,General,CNN,1.2139383935290988
MSE,General,RNN,0.019934245898352056
MSE,General,GRU,0.01918803765919665
MSE,General,LSTM,0.015563148643730786
MSE,MA,CNN,1.5908541236176217
MSE,MA,RNN,0.0396809195641579
MSE,MA,GRU,0.035504520267784674
MSE,MA,LSTM,0.10278574639622287
MSE,AE,CNN,1.5630651654267582
MSE,AE,RNN,0.019694151885552742
MSE,AE,GRU,0.01914057559144294
MSE,AE,LSTM,0.015404513468682265
MSE,MA AE,CNN,2.721494215343399
MSE,MA AE,RNN,0.046583821085049854
MSE,MA AE,GRU,0.041247785600587096
MSE,MA AE,LSTM,0.05865610364908331
MSE,HY,CNN LSTM,0.8696085125442541
MSE,HY,LSTM RNN GRU,0.016264198956981814
MSE,HY,CNN RNN GRU,0.8816321061148585
MSE,HY,CNN GRU,0.8796308889142773
MSE,HY,RNN GRU,0.02059874522542882
MSE,HY,RNN LSTM,0.017607313540668162
MSE,MA HY,CNN LSTM,0.8771569165086456
MSE,MA HY,LSTM RNN GRU,0.12107966876726237
MSE,MA HY,CNN RNN GRU,0.8738222665573391
MSE,MA HY,CNN GRU,0.8821925382840349
MSE,MA HY,RNN GRU,0.036244432418777006
MSE,MA HY,RNN LSTM,0.06693024615187898
RMSE,General,CNN,1.10178872454255
RMSE,General,RNN,0.14118868898871487
RMSE,General,GRU,0.13852089250072225
RMSE,General,LSTM,0.12475234925134991
RMSE,MA,CNN,1.2612906578650385
RMSE,MA,RNN,0.19920070171602786
RMSE,MA,GRU,0.18842643197753514
RMSE,MA,LSTM,0.32060216218270093
RMSE,AE,CNN,1.250226045732034
RMSE,AE,RNN,0.14033585388471737
RMSE,AE,GRU,0.13834946906816425
RMSE,AE,LSTM,0.12411492041121512
RMSE,MA AE,CNN,1.6496951886161877
RMSE,MA AE,RNN,0.21583285450794987
RMSE,MA AE,GRU,0.2030955085682278
RMSE,MA AE,LSTM,0.24219022203442342
RMSE,HY,CNN LSTM,0.9325280223908845
RMSE,HY,LSTM RNN GRU,0.12753116857059615
RMSE,HY,CNN RNN GRU,0.9389526644697583
RMSE,HY,CNN GRU,0.9378863944605856
RMSE,HY,RNN GRU,0.14352262966316084
RMSE,HY,RNN LSTM,0.1326925526948222
RMSE,MA HY,CNN LSTM,0.9365665574366008
RMSE,MA HY,LSTM RNN GRU,0.3479650395761942
RMSE,MA HY,CNN RNN GRU,0.9347846097135634
RMSE,MA HY,CNN GRU,0.9392510517875585
RMSE,MA HY,RNN GRU,0.19037970590054237
RMSE,MA HY,RNN LSTM,0.25870880570996996
MAE,General,CNN,0.8667821857084831
MAE,General,RNN,0.10823121667839584
MAE,General,GRU,0.10457016695704724
MAE,General,LSTM,0.09832146922443319
MAE,MA,CNN,0.9604853348351187
MAE,MA,RNN,0.15235721950729686
MAE,MA,GRU,0.14655871054364575
MAE,MA,LSTM,0.2814411450425784
MAE,AE,CNN,1.1395534230603113
MAE,AE,RNN,0.10562104723105827
MAE,AE,GRU,0.10640567609833344
MAE,AE,LSTM,0.0972129331818885
MAE,MA AE,CNN,1.420664729807112
MAE,MA AE,RNN,0.18127660265399348
MAE,MA AE,GRU,0.1560834412111176
MAE,MA AE,LSTM,0.18380560946133398
MAE,HY,CNN LSTM,0.7584142914083268
MAE,HY,LSTM RNN GRU,0.10207033723954938
MAE,HY,CNN RNN GRU,0.7705039213763343
MAE,HY,CNN GRU,0.7711685793929629
MAE,HY,RNN GRU,0.11329200293635949
MAE,HY,RNN LSTM,0.10204817572492172
MAE,MA HY,CNN LSTM,0.7720128162701925
MAE,MA HY,LSTM RNN GRU,0.24124629994233449
MAE,MA HY,CNN RNN GRU,0.7753400336371528
MAE,MA HY,CNN GRU,0.7692759729756249
MAE,MA HY,RNN GRU,0.15223829464779956
MAE,MA HY,RNN LSTM,0.18580850862794449
R2,General,CNN,-0.450505552312612
R2,General,RNN,0.9761810529176319
R2,General,GRU,0.9770726790494405
R2,General,LSTM,0.98140397104208
R2,MA,CNN,-0.9008730191969676
R2,MA,RNN,0.9525862313479078
R2,MA,GRU,0.9575765096028468
R2,MA,LSTM,0.8771838038560698
R2,AE,CNN,-0.8676686668478761
R2,AE,RNN,0.9764679354320155
R2,AE,GRU,0.9771293903233964
R2,AE,LSTM,0.981593520366351
R2,MA AE,CNN,-2.2518474504016344
R2,MA AE,RNN,0.9443381216938317
R2,MA AE,GRU,0.9507140211124581
R2,MA AE,LSTM,0.929913243972228
R2,HY,CNN LSTM,-0.03907412641983998
R2,HY,LSTM RNN GRU,0.9805663030209996
R2,HY,CNN RNN GRU,-0.0534408268437474
R2,HY,CNN GRU,-0.051049620933875994
R2,HY,RNN GRU,0.9753870587836868
R2,HY,RNN LSTM,0.9789614479711767
R2,MA HY,CNN LSTM,-0.04809353129228833
R2,MA HY,LSTM RNN GRU,0.8553248395838993
R2,MA HY,CNN RNN GRU,-0.04410903892004581
R2,MA HY,CNN GRU,-0.05411047365401234
R2,MA HY,RNN GRU,0.9566924065141242
R2,MA HY,RNN LSTM,0.9200266717170741
