ModelCat,Model,MSE,RMSE
General,CNN,6.73673727356524,2.595522543451557
General,RNN,0.6510256390170452,0.8068615984275402
General,GRU,0.30109772336341545,0.5487237222532078
General,LSTM,0.017294274283582343,0.13150769667050802
MA,CNN,4.2277185595387685,2.0561416681587796
MA,RNN,0.1276975104108168,0.3573478842959852
MA,GRU,0.07731478664602963,0.2780553661521921
MA,LSTM,0.2529244713230306,0.5029159684510233
AE,CNN,2.7179238506158074,1.6486127048569676
AE,RNN,0.022604608860318606,0.15034829184370072
AE,GRU,0.01718174947688866,0.13107917255189194
AE,LSTM,0.01736969940100413,0.13179415541291706
MA AE,CNN,3.1080647294831243,1.7629704278526979
MA AE,RNN,0.0351924685424609,0.18759655791741195
MA AE,GRU,0.052291097519905474,0.22867246777849204
MA AE,LSTM,0.08353068090114227,0.28901674847859987
HY,LSTM,0.8124885067295726,0.9013814435240902
HY,LSTM RNN GRU,0.01650016689583058,0.128452975426148
HY,CNN RNN GRU,0.8342003451349351,0.9133456876423818
HY,CNN GRU,0.8547542610899623,0.924529210512011
HY,RNN GRU,0.019021673777042055,0.13791908416547022
HY,RNN LSTM,0.020252020349592868,0.1423095933153941
MA HY,CNN LSTM,0.8390395930619943,0.9159910442040328
MA HY,LSTM RNN GRU,0.13483083162146642,0.367193180249125
MA HY,CNN RNN GRU,0.8130532008600034,0.9016946272768865
MA HY,CNN GRU,0.8088223556361868,0.8993455151587663
MA HY,RNN GRU,0.035695763649257584,0.18893322537144594
MA HY,RNN LSTM,0.042152578977878656,0.20531093243633827
