,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1169.923583984375,1134.870849609375,,
1,1123.4180908203125,1096.29443359375,,
2,1098.029052734375,1091.5037841796875,,
3,1096.319580078125,1091.115234375,,
4,1095.9290771484375,1090.7271728515625,,
5,1095.5406494140625,1090.3389892578125,,
6,1095.1497802734375,1089.9512939453125,,
7,1094.7613525390625,1089.5625,,
8,1094.3714599609375,1089.173583984375,,
9,1093.9813232421875,1088.7850341796875,,
10,1093.591552734375,1088.39599609375,,
11,1093.20068359375,1088.0068359375,,
12,1092.8118896484375,1087.6175537109375,,
13,1092.421142578125,1087.2283935546875,,
14,1092.0311279296875,1086.840087890625,,
15,1091.6407470703125,1086.4525146484375,,
16,1091.252197265625,1086.06494140625,,
17,1090.8626708984375,1085.676513671875,,
18,1090.4720458984375,1085.2874755859375,,
19,1090.0836181640625,1084.897705078125,,
20,1089.6923828125,1084.5096435546875,,
21,1089.3026123046875,1084.12109375,,
22,1088.9134521484375,1083.7327880859375,,
23,1088.523193359375,1083.344970703125,,
24,1088.1326904296875,1082.95703125,,
25,1087.7449951171875,1082.5672607421875,,
26,1087.355712890625,1082.1783447265625,,
27,1086.9642333984375,1081.7916259765625,,
28,1086.5780029296875,1081.404052734375,,
29,1086.18994140625,1081.0162353515625,,
30,1085.7999267578125,1080.63037109375,,
31,1085.412841796875,1080.2425537109375,,
32,1085.022216796875,1079.85546875,,
33,1084.635009765625,1079.4676513671875,,
34,1084.2467041015625,1079.0794677734375,,
35,1083.8564453125,1078.692138671875,,
36,1083.4671630859375,1078.305419921875,,
37,1083.0794677734375,1077.9190673828125,,
38,1082.6917724609375,1077.5321044921875,,
39,1082.3038330078125,1077.14501953125,,
40,1081.9144287109375,1076.7581787109375,,
41,1081.526123046875,1076.3714599609375,,
42,1081.1405029296875,1075.983154296875,,
43,1080.7509765625,1075.59619140625,,
44,1080.3609619140625,1075.2109375,,
45,1079.9752197265625,1074.8251953125,,
46,1079.58837890625,1074.440673828125,,
47,1079.203369140625,1074.0550537109375,,
48,1078.8167724609375,1073.6700439453125,,
49,1078.4293212890625,1073.285400390625,,
50,1078.043701171875,1072.898193359375,,
51,1077.65576171875,1072.51123046875,,
52,1077.268310546875,1072.124267578125,,
53,1076.8795166015625,1071.739013671875,,
54,1076.4918212890625,1071.3551025390625,,
55,1076.1065673828125,1070.9698486328125,,
56,1075.72216796875,1070.5841064453125,,
57,1075.33544921875,1070.199951171875,,
58,1074.9490966796875,1069.8157958984375,,
59,1074.564697265625,1069.4300537109375,,
60,1074.1771240234375,1069.044921875,,
61,1073.7896728515625,1068.6600341796875,,
62,1073.4041748046875,1068.275146484375,,
63,1073.01708984375,1067.8907470703125,,
64,1072.6329345703125,1067.5057373046875,,
65,1072.247802734375,1067.120849609375,,
66,1071.860107421875,1066.737060546875,,
67,1071.474365234375,1066.3531494140625,,
68,1071.0888671875,1065.968505859375,,
69,1070.703125,1065.5845947265625,,
70,1070.320556640625,1065.199951171875,,
71,1069.9346923828125,1064.815673828125,,
72,1069.549072265625,1064.4322509765625,,
73,1069.1630859375,1064.050048828125,,
74,1068.7791748046875,1063.6668701171875,,
75,1068.3968505859375,1063.28271484375,,
76,1068.0087890625,1062.9007568359375,,
77,1067.62646484375,1062.5179443359375,,
78,1067.24462890625,1062.1341552734375,,
79,1066.85888671875,1061.751708984375,,
80,1066.4744873046875,1061.3697509765625,,
81,1066.0914306640625,1060.987060546875,,
82,1065.7073974609375,1060.6033935546875,,
83,1065.3231201171875,1060.2198486328125,,
84,1064.93896484375,1059.8377685546875,,
85,1064.55517578125,1059.4560546875,,
86,1064.1729736328125,1059.0743408203125,,
87,1063.7896728515625,1058.69287109375,,
88,1063.4053955078125,1058.3114013671875,,
89,1063.0230712890625,1057.92822265625,,
90,1062.639404296875,1057.5450439453125,,
91,1062.2564697265625,1057.1622314453125,,
92,1061.8704833984375,1056.7816162109375,,
93,1061.490478515625,1056.400390625,,
94,1061.10693359375,1056.0196533203125,,
95,1060.725341796875,1055.639404296875,,
96,1060.3438720703125,1055.2593994140625,,
97,1059.9625244140625,1054.87939453125,,
98,1059.5810546875,1054.4991455078125,,
99,1059.1982421875,1054.11865234375,,
