Model,MSE,RMSE
CNN,1076.760307471045,32.814026078356264
RNN,35.32693703754567,5.943646779338899
GRU,30.529657043810907,5.525364878794061
LSTM,1076.7280930746322,32.81353521147382
MA CNN,0.8005807267828965,0.8947517682479853
MA RNN,41.518837045604215,6.4435112357785345
MA GRU,30.99893215528887,5.567668466718261
MA LSTM,29.80738987291261,5.459614443613451
AE CNN,0.6645706508682878,0.8152120281670823
AE RNN,42.283768305870645,6.502597043172108
AE GRU,31.110432462054675,5.577672674337808
AE LSTM,1.3566544915280734,1.1647551208421767
MA AE CNN,0.7786587468006128,0.8824164248248175
MA AE RNN,41.49995670749985,6.4420460032120115
MA AE GRU,31.67800168827411,5.628321391700559
MA AE LSTM,29.22614278958113,5.406120863390045
HY CNN LSTM,137.70813870979995,11.734911107878064
HY LSTM RNN GRU,29.276937172878327,5.41081668261625
HY CNN RNN GRU,27.13034277506403,5.20867956156491
HY CNN GRU,141.77571063373384,11.906960595959568
HY RNN GRU,125.57254958677451,11.20591582989871
HY RNN LSTM,101.67452592447552,10.083378695877464
MA HY CNN LSTM,127.10725145616658,11.274185179256484
MA HY LSTM RNN GRU,30.441902339515288,5.5174180863439455
MA HY CNN RNN GRU,27.132994725041243,5.208934125619295
MA HY CNN GRU,145.26563613481378,12.05261947191621
MA HY RNN GRU,113.37060920116103,10.647563533558325
MA HY RNN LSTM,121.06022532435509,11.002737174192388
