Model,MSE,MAE,R2,RMSE
CNN,0.023195602894192598,0.10203535171018707,0.9725558518599673,0.15230102722632108
RNN,0.02516095565976996,0.10076803181527391,0.9702305218096139,0.1586220528796988
GRU,0.027883383162404525,0.11463669771121612,0.9670094499528652,0.16698318227415757
LSTM,0.02276008062348914,0.0991083194812139,0.9730711451148997,0.15086444453047623
MA CNN,0.049543103913089664,0.13248738401465948,0.9413824986869264,0.22258280237495812
MA RNN,0.04656936680054634,0.16636661967340238,0.944900910440155,0.21579936700682498
MA GRU,0.06471031994112976,0.18864685050315327,0.9234372301183897,0.2543822319682131
MA LSTM,0.05882241401043273,0.17688101899292735,0.9304035747024783,0.24253332556667903
AE CNN,0.019263330630967967,0.08106619600827497,0.9772083656579982,0.1387924012003826
AE RNN,0.01812071535118866,0.0874237780728274,0.9785602642548301,0.13461320645162814
AE GRU,0.0321975153278466,0.1250729366226329,0.9619051341571454,0.17943666104741973
AE LSTM,0.031854643599192364,0.12142300042841171,0.9623108068424875,0.17847869228339938
MA AE CNN,0.024662455804083962,0.09834043197333815,0.9708203277288494,0.1570428470325343
MA AE RNN,0.02605968785553107,0.11237216330702522,0.9691671763285244,0.16143013304687284
MA AE GRU,0.05176034917544953,0.1667846184141106,0.9387591390906891,0.22750900899843401
MA AE LSTM,0.042637342903472195,0.15000790357589722,0.9495531303808779,0.2064881180685034
HY CNN LSTM,0.02483611300693744,0.10678958944148491,0.9706148631835891,0.15759477468157831
HY LSTM RNN GRU,0.018494580246328832,0.08558307525598341,0.9781179216430261,0.1359947802172158
HY CNN RNN GRU,0.02412300110688266,0.10188162744873103,0.9714585898465604,0.1553158108721796
HY CNN GRU,0.021213943716151137,0.09622139074076487,0.974900475032441,0.14565007283263245
HY RNN GRU,0.020087659120146383,0.0912008708679221,0.9762330517902683,0.1417309391775359
HY RNN LSTM,0.01893997347835807,0.09015251439271704,0.9775909494450568,0.13762257619430784
MA HY CNN LSTM,0.0817079258492357,0.2291151382608546,0.9033263144118293,0.2858459827411183
MA HY LSTM RNN GRU,0.02301651480756033,0.09930470483506929,0.9727677420187215,0.15171194681883274
MA HY CNN RNN GRU,0.0646082412207935,0.18310368798776638,0.9235580057470997,0.25418151235051206
MA HY CNN GRU,0.04346794356597957,0.1516975048929453,0.9485703955181092,0.2084896725643253
MA HY RNN GRU,0.044358127640936815,0.16804834574460983,0.9475171638458624,0.21061369290940418
MA HY RNN LSTM,0.03399533746070969,0.14236724431936942,0.959778019929126,0.18437824562759483
