Metrics,Model Category,Model,y
MSE,General,CNN,0.5257207225355406
MSE,General,RNN,84.9804154812961
MSE,General,GRU,49.28698303558927
MSE,General,LSTM,24.048895127168183
MSE,MA,CNN,0.9859277596089794
MSE,MA,RNN,124.77598588055324
MSE,MA,GRU,77.59117957675159
MSE,MA,LSTM,28.26691770813592
MSE,DReg,CNN,0.5240155308213033
MSE,DReg,RNN,115.5236854888861
MSE,DReg,GRU,61.07875706864282
MSE,DReg,LSTM,28.850828775424514
MSE,MA DReg,CNN,0.5145012692408297
MSE,MA DReg,RNN,114.53145564481795
MSE,MA DReg,GRU,70.17649327328787
MSE,MA DReg,LSTM,58.122173253945434
MSE,HY,CNN LSTM,230.43562746576052
MSE,HY,LSTM RNN GRU,52.500547397935065
MSE,HY,CNN RNN GRU,28.941014434849357
MSE,HY,CNN GRU,229.43077203396192
MSE,HY,RNN GRU,244.91951497982393
MSE,HY,RNN LSTM,225.0828412368827
MSE,MA HY,CNN LSTM,256.3944047572027
MSE,MA HY,LSTM RNN GRU,62.03166043511989
MSE,MA HY,CNN RNN GRU,28.871727392998803
MSE,MA HY,CNN GRU,265.6605231507175
MSE,MA HY,RNN GRU,291.42302348088356
MSE,MA HY,RNN LSTM,275.1426390146314
RMSE,General,CNN,0.7250660125364728
RMSE,General,RNN,9.218482276453978
RMSE,General,GRU,7.020468861521236
RMSE,General,LSTM,4.903967284471643
RMSE,MA,CNN,0.9929389505951408
RMSE,MA,RNN,11.170317179048823
RMSE,MA,GRU,8.808585560505817
RMSE,MA,LSTM,5.3166641522796905
RMSE,DReg,CNN,0.7238891702610996
RMSE,DReg,RNN,10.748194522285411
RMSE,DReg,GRU,7.815289954227087
RMSE,DReg,LSTM,5.371296749894248
RMSE,MA DReg,CNN,0.7172874383682107
RMSE,MA DReg,RNN,10.701937004337951
RMSE,MA DReg,GRU,8.377141115755892
RMSE,MA DReg,LSTM,7.623789953425097
RMSE,HY,CNN LSTM,15.180106306141617
RMSE,HY,LSTM RNN GRU,7.24572614704248
RMSE,HY,CNN RNN GRU,5.379685347197302
RMSE,HY,CNN GRU,15.146972371862368
RMSE,HY,RNN GRU,15.649904631652678
RMSE,HY,RNN LSTM,15.002761120436555
RMSE,MA HY,CNN LSTM,16.012320405150614
RMSE,MA HY,LSTM RNN GRU,7.87601805705903
RMSE,MA HY,CNN RNN GRU,5.373241795508443
RMSE,MA HY,CNN GRU,16.299095777088908
RMSE,MA HY,RNN GRU,17.071116644229328
RMSE,MA HY,RNN LSTM,16.587424122347368
MAE,General,CNN,0.5131380028194852
MAE,General,RNN,7.5439049593607574
MAE,General,GRU,5.140903533299763
MAE,General,LSTM,4.016289460923937
MAE,MA,CNN,0.7082692707909479
MAE,MA,RNN,9.830303701824612
MAE,MA,GRU,7.051150214936998
MAE,MA,LSTM,4.558800148434109
MAE,DReg,CNN,0.5242742612626818
MAE,DReg,RNN,9.35003148820665
MAE,DReg,GRU,5.951231858995225
MAE,DReg,LSTM,4.491682741377089
MAE,MA DReg,CNN,0.5074303881327311
MAE,MA DReg,RNN,9.294415135913423
MAE,MA DReg,GRU,6.567474241256713
MAE,MA DReg,LSTM,5.746155217488607
MAE,HY,CNN LSTM,14.224671370188396
MAE,HY,LSTM RNN GRU,5.338035812377929
MAE,HY,CNN RNN GRU,4.488959550857544
MAE,HY,CNN GRU,14.18926488664415
MAE,HY,RNN GRU,14.724982268015545
MAE,HY,RNN LSTM,14.035232258902655
MAE,MA HY,CNN LSTM,15.10959768931071
MAE,MA HY,LSTM RNN GRU,6.015345078574287
MAE,MA HY,CNN RNN GRU,4.493788825141059
MAE,MA HY,CNN GRU,15.41311765352885
MAE,MA HY,RNN GRU,16.22738462660048
MAE,MA HY,RNN LSTM,15.717757655249702
R2,General,CNN,0.9812880217051323
R2,General,RNN,-2.024708028067802
R2,General,GRU,-0.7542716450921585
R2,General,LSTM,0.14402764748406927
R2,MA,CNN,0.9649078720938881
R2,MA,RNN,-3.4411518120436932
R2,MA,GRU,-1.7617029458358626
R2,MA,LSTM,-0.006104435195997793
R2,DReg,CNN,0.9813487145958205
R2,DReg,RNN,-3.111834673332716
R2,DReg,GRU,-1.173976272104586
R2,DReg,LSTM,-0.02688758250002765
R2,MA DReg,CNN,0.9816873557194324
R2,MA DReg,RNN,-3.076518235327044
R2,MA DReg,GRU,-1.4977920075252915
R2,MA DReg,LSTM,-1.0687425809144226
R2,HY,CNN LSTM,-7.201895559123672
R2,HY,LSTM RNN GRU,-0.8686520452166937
R2,HY,CNN RNN GRU,-0.03009756078189385
R2,HY,CNN GRU,-7.1661297385590785
R2,HY,RNN GRU,-7.717420584428602
R2,HY,RNN LSTM,-7.011373832590328
R2,MA HY,CNN LSTM,-8.125846349756497
R2,MA HY,LSTM RNN GRU,-1.2078929627471542
R2,MA HY,CNN RNN GRU,-0.027631427019902732
R2,MA HY,CNN GRU,-8.45565531262347
R2,MA HY,RNN GRU,-9.37262001714299
R2,MA HY,RNN LSTM,-8.793152273708136
