,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1024.6650390625,939.6148681640625,,
1,932.6712646484375,862.65966796875,,
2,862.7349853515625,800.3758544921875,,
3,804.0755615234375,746.71337890625,,
4,747.6104125976562,694.22119140625,,
5,698.2330932617188,638.9578247070312,,
6,642.7998046875,590.0015869140625,,
7,593.0541381835938,547.0675048828125,,
8,547.8199462890625,510.5802001953125,,
9,519.3123779296875,483.4110412597656,,
10,494.5738830566406,460.2035827636719,,
11,469.160400390625,435.2298278808594,,
12,442.9931945800781,409.7825012207031,,
13,420.4007873535156,386.5548095703125,,
14,397.59735107421875,364.4077453613281,,
15,374.2491455078125,340.71527099609375,,
16,347.7428283691406,316.26019287109375,,
17,323.2528076171875,295.2339172363281,,
18,303.72271728515625,277.4598388671875,,
19,286.159423828125,261.0165100097656,,
20,265.4078674316406,246.10560607910156,,
21,258.1215515136719,232.46209716796875,,
22,237.1890106201172,219.73472595214844,,
23,229.56495666503906,207.81663513183594,,
24,217.5620574951172,196.51478576660156,,
25,208.90170288085938,185.7042694091797,,
26,194.0979766845703,175.77101135253906,,
27,190.0566864013672,166.28883361816406,,
28,173.3149871826172,157.30279541015625,,
29,166.35765075683594,148.9051055908203,,
30,156.5354461669922,140.96261596679688,,
31,147.60116577148438,133.5199432373047,,
32,142.6178741455078,126.41342163085938,,
33,129.61004638671875,119.89082336425781,,
34,126.67063903808594,113.67919921875,,
35,121.86883544921875,107.6250991821289,,
36,117.92255401611328,101.93716430664062,,
37,110.6867446899414,96.69915008544922,,
38,103.06938934326172,91.76111602783203,,
39,92.64529418945312,87.0492172241211,,
40,95.53202056884766,82.54249572753906,,
41,88.7469482421875,78.43549346923828,,
42,88.23583984375,74.48454284667969,,
43,82.17771911621094,70.83179473876953,,
44,78.60163116455078,67.41040802001953,,
45,71.75907135009766,64.39199829101562,,
46,70.12026977539062,61.65336227416992,,
47,67.42723846435547,59.047828674316406,,
48,66.79822540283203,56.536231994628906,,
49,63.921817779541016,54.10607147216797,,
