,training_loss,validation_loss,training_accuracy,validation_accuracy
0,995.4874877929688,922.46337890625,,
1,927.224365234375,870.434326171875,,
2,878.8837280273438,824.774169921875,,
3,831.3333129882812,775.0108032226562,,
4,780.06494140625,725.482177734375,,
5,730.0930786132812,675.310791015625,,
6,676.967529296875,619.2649536132812,,
7,618.2701416015625,562.1470336914062,,
8,561.4715576171875,508.7801513671875,,
9,509.2153015136719,462.068359375,,
10,464.5127868652344,424.17633056640625,,
11,429.6879577636719,395.31512451171875,,
12,401.8624267578125,369.66534423828125,,
13,377.42474365234375,349.89263916015625,,
14,359.08642578125,333.92083740234375,,
15,343.23809814453125,319.212158203125,,
16,328.42572021484375,304.93817138671875,,
17,314.157958984375,291.4521179199219,,
18,300.4981384277344,278.7294616699219,,
19,287.563232421875,266.3769836425781,,
20,274.9881286621094,254.3018035888672,,
21,262.87353515625,242.91627502441406,,
22,251.2273712158203,231.97080993652344,,
23,240.07992553710938,221.2081756591797,,
24,229.28054809570312,211.09405517578125,,
25,218.95285034179688,201.50921630859375,,
26,209.1969451904297,192.23208618164062,,
27,199.71615600585938,183.31283569335938,,
28,190.645751953125,174.84169006347656,,
29,181.96051025390625,166.6108856201172,,
30,173.54840087890625,158.85145568847656,,
31,165.55926513671875,151.2200927734375,,
32,157.74176025390625,144.0202178955078,,
33,150.4371795654297,137.2498016357422,,
34,143.56918334960938,130.80430603027344,,
35,136.95620727539062,124.63461303710938,,
36,130.65089416503906,118.78564453125,,
37,124.55054473876953,113.26278686523438,,
38,118.85426330566406,107.8621597290039,,
39,113.32658386230469,102.7441635131836,,
40,108.02297973632812,97.90350341796875,,
41,103.01197052001953,93.34505462646484,,
42,98.21381378173828,89.02521514892578,,
43,93.7696533203125,84.95500946044922,,
44,89.6075210571289,80.96533966064453,,
45,85.4784164428711,77.31729888916016,,
46,81.60287475585938,73.82000732421875,,
47,77.95173645019531,70.38988494873047,,
48,74.40455627441406,67.29798126220703,,
49,71.15042114257812,64.33596801757812,,
