Model,MSE,RMSE
CNN,0.016985333007099333,0.13032779061696448
RNN,0.018045804302626218,0.13433467274916858
GRU,0.015992878694009924,0.1264629538402845
LSTM,0.021033406266539247,0.14502898422915073
MA CNN,0.04740777264045763,0.21773326029905865
MA RNN,0.04324837961857934,0.20796244761634092
MA GRU,0.018590404992846508,0.13634663542913888
MA LSTM,0.025517005054501787,0.15974043024388593
AE CNN,0.021287014974858427,0.14590070244813225
AE RNN,0.017676547157734663,0.13295317656127914
AE GRU,0.018008718134913473,0.13419656528731827
AE LSTM,0.032968319654214324,0.1815718030262803
MA AE CNN,0.03214707382509863,0.17929605077942634
MA AE RNN,0.030361006435727627,0.17424410014611005
MA AE GRU,0.01709608617047501,0.1307520025486226
MA AE LSTM,0.023423456697120277,0.15304723681635116
HY CNN LSTM,0.022122003460987347,0.14873467470965654
HY LSTM RNN GRU,0.02753964113336822,0.16595071899021172
HY CNN RNN GRU,0.03729519613606873,0.19311964202552967
HY CNN GRU,0.02165858623316343,0.14716856401135206
HY RNN GRU,0.022049336397997336,0.14849018956819113
HY RNN LSTM,0.01773283812941177,0.13316470301627142
MA HY CNN LSTM,0.029162625187526048,0.1707706801167169
MA HY LSTM RNN GRU,0.03240565267634467,0.1800157011939366
MA HY CNN RNN GRU,0.07001462725556497,0.2646027725772445
MA HY CNN GRU,0.031257504967284556,0.17679792127534916
MA HY RNN GRU,0.04473726002076607,0.21151184368910897
MA HY RNN LSTM,0.04441857282912256,0.21075714182234148
