index,Location,Metrics,Model Category,Model,y
0,S1,R2,General,CNN,0.863124153947987
1,S1,R2,General,RNN,0.8170164112025684
2,S1,R2,General,GRU,0.961587482267816
3,S1,R2,General,LSTM,0.6767461120472822
4,S1,R2,MA,CNN,-1.0
5,S1,R2,MA,RNN,-0.2389605671282767
6,S1,R2,MA,GRU,0.8442687933260062
7,S1,R2,MA,LSTM,0.49928751701405
8,S1,R2,DReg,CNN,0.6603260051332742
9,S1,R2,DReg,RNN,0.7521613131486038
10,S1,R2,DReg,GRU,1.0
11,S1,R2,DReg,LSTM,0.70356654505268
12,S1,R2,MA DReg,CNN,0.5032779818107767
13,S1,R2,MA DReg,RNN,0.0796008721286216
14,S1,R2,MA DReg,GRU,0.9637900956845252
15,S1,R2,MA DReg,LSTM,0.6226324912765842
16,S1,R2,HY,CNN LSTM,0.4297538925284196
17,S1,R2,HY,RNN LSTM GRU,0.9244210790339014
18,S1,R2,HY,CNN RNN GRU,0.3764377276423067
19,S1,R2,HY,CNN GRU,0.7134032866719786
20,S1,R2,HY,RNN GRU,0.6230053536517919
21,S1,R2,HY,RNN LSTM,0.847812662342778
22,S1,R2,MA HY,CNN LSTM,0.5563628523176147
23,S1,R2,MA HY,RNN LSTM GRU,0.7086119592813465
24,S1,R2,MA HY,CNN RNN GRU,-0.8059074326093291
25,S1,R2,MA HY,CNN GRU,0.3236689144152791
26,S1,R2,MA HY,RNN GRU,0.3992610598795962
27,S1,R2,MA HY,RNN LSTM,-0.756423980996329
28,S2,R2,General,CNN,0.7324336219476208
29,S2,R2,General,RNN,0.9311492075781512
30,S2,R2,General,GRU,0.8979843850810239
31,S2,R2,General,LSTM,0.4098098950709223
32,S2,R2,MA,CNN,-1.0
33,S2,R2,MA,RNN,-0.394740195946293
34,S2,R2,MA,GRU,0.8381969377186473
35,S2,R2,MA,LSTM,0.2559216424451547
36,S2,R2,DReg,CNN,0.4251172365354509
37,S2,R2,DReg,RNN,0.7683146113630044
38,S2,R2,DReg,GRU,0.957149810460171
39,S2,R2,DReg,LSTM,0.5440398097975558
40,S2,R2,MA DReg,CNN,0.2872690158380324
41,S2,R2,MA DReg,RNN,-0.9264447147611988
42,S2,R2,MA DReg,GRU,0.7959925767522087
43,S2,R2,MA DReg,LSTM,0.2578579119626349
44,S2,R2,HY,CNN LSTM,0.9938956540462628
45,S2,R2,HY,RNN LSTM GRU,0.810626958258317
46,S2,R2,HY,CNN RNN GRU,0.7801524626078447
47,S2,R2,HY,CNN GRU,1.0
48,S2,R2,HY,RNN GRU,0.8244811132905616
49,S2,R2,HY,RNN LSTM,0.6155717873380357
50,S2,R2,MA HY,CNN LSTM,0.1736893903434975
51,S2,R2,MA HY,RNN LSTM GRU,0.7846791262479431
52,S2,R2,MA HY,CNN RNN GRU,-0.4039339724447357
53,S2,R2,MA HY,CNN GRU,-0.1535619329072978
54,S2,R2,MA HY,RNN GRU,-0.7299019010433486
55,S2,R2,MA HY,RNN LSTM,0.2817539520675916
56,S3,R2,General,CNN,0.5985863508059086
