Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,1.1769899634469594,0.859002260631985,0.9997921291264016,1.0848916828176716
General,RNN,1.0726451070343836,0.8141013982560897,1.0,1.0356858148272494
General,GRU,1005.0118175967206,31.27794585545858,-1.0,31.701921354970278
General,LSTM,755.9265173651856,27.004158866935306,-0.5037840796393591,27.494117868467534
MA,CNN,1.281731909773109,0.8933662456936307,0.9995834671891124,1.1321359943810236
MA,RNN,42.23971218612286,4.771482503679064,0.917988921625605,6.499208581521511
MA,GRU,22.398762242774712,3.7369555642869736,0.9575151209951231,4.732733062700104
MA,LSTM,13.6976869109546,2.937842832141452,0.9748489905566466,3.701038625974417
DReg,CNN,1.2226817404924897,0.8745046043395996,0.9997011041354507,1.105749402212133
DReg,RNN,59.031765807531116,5.9610932551489935,0.8845365888916099,7.68321324756323
DReg,GRU,48.97655909082211,5.194039040671455,0.9045680947681523,6.998325449050087
DReg,LSTM,22.561946251762336,3.8116969278123642,0.957190033552658,4.749941710354174
MA DReg,CNN,1.1696244403240526,0.8598461627960203,0.9998068023722011,1.0814917661841223
MA DReg,RNN,56.89599759308279,5.79975452846951,0.8887913650234185,7.542943562899221
MA DReg,GRU,48.79378787438155,5.179725130928888,0.9049322029162332,6.985255032880443
MA DReg,LSTM,50.37466625668795,5.301859727435643,0.9017828519881566,7.097511272036695
HY,CNN LSTM,199.73097352977868,13.154084516101413,0.6042423009950135,14.132620900943275
HY,LSTM RNN GRU,57.83419874943944,5.8725387403700084,0.8869223251810343,7.604879929981764
HY,CNN RNN GRU,21.125996055916985,3.47326397895813,0.9600506654219858,4.596302433034295
HY,CNN GRU,230.2637625197552,14.267503519058229,0.5434163270184074,15.17444438916151
HY,RNN GRU,222.7427303388057,14.001435563829212,0.5583993705872683,14.924568011798723
HY,RNN LSTM,225.4920920260274,14.099376724031238,0.5529222226433275,15.016394108640975
MA HY,CNN LSTM,228.4692488283008,14.204504244062637,0.5469912720760928,15.115199265252867
MA HY,LSTM RNN GRU,46.29384228837692,5.008021330303617,0.9099124759337807,6.803957839991142
MA HY,CNN RNN GRU,27.761300135591195,4.238401414023505,0.9468321273641089,5.268899328663549
MA HY,CNN GRU,214.79940510414565,13.714863478342693,0.5742236863472783,14.65603647321286
MA HY,RNN GRU,230.43132383269293,14.273390656577217,0.5430825193186397,15.179964553077617
MA HY,RNN LSTM,216.369677392018,13.772052121692234,0.5710954643774588,14.709509760424309
