ModelCat,Model,MSE,RMSE
General,CNN,1.7971475942703412,1.3405773361765971
General,RNN,0.042992819573703885,0.20734709926522696
General,GRU,0.02201911668100313,0.1483883980673797
General,LSTM,0.01497101805986057,0.12235611165716476
MA,CNN,3.6769003158002684,1.9175245280830877
MA,RNN,0.08707085047357783,0.29507770243374515
MA,GRU,0.07364054891769661,0.2713679216814261
MA,LSTM,0.3463714192420665,0.5885332779393757
AE,CNN,1.6167288744193473,1.2715065373089307
AE,RNN,0.053826079141563475,0.2320044808652701
AE,GRU,0.02025439827006055,0.1423179478142534
AE,LSTM,0.014983241717349167,0.1224060526172998
MA AE,CNN,2.721494215343399,1.6496951886161877
MA AE,RNN,0.06044081399580976,0.24584713542323358
MA AE,GRU,0.04593034980367697,0.21431367152768618
MA AE,LSTM,0.07486085914811666,0.2736071255433905
HY,LSTM,0.8462021766905882,0.9198924810490562
HY,LSTM RNN GRU,0.017524574855290426,0.132380417189592
HY,CNN RNN GRU,0.8428772046055671,0.9180834409821186
HY,CNN GRU,0.8454890764392509,0.9195047995737983
HY,RNN GRU,0.028706301814546538,0.16942934165765544
HY,RNN LSTM,0.024125876388852323,0.15532506684000597
MA HY,CNN LSTM,0.8370212273233953,0.9148886420343163
MA HY,LSTM RNN GRU,0.1776724684239276,0.4215121213250309
MA HY,CNN RNN GRU,0.8450365754973566,0.9192587097750864
MA HY,CNN GRU,0.8364113320444869,0.9145552646201797
MA HY,RNN GRU,0.16138580297141225,0.40172851899188367
MA HY,RNN LSTM,0.11297405531248314,0.33611613366883053
