ModelCat,Model,MSE,RMSE
General,CNN,1092.1768218211105,33.04809861128338
General,RNN,50.74422347644044,7.123497980377368
General,GRU,938.0594709183073,30.627756543996284
General,LSTM,880.178498223365,29.66780238277458
MA,CNN,77.42214793193583,8.798985619486817
MA,RNN,55.584293870745,7.4554875005424694
MA,GRU,22.01920076537399,4.69246212189017
MA,LSTM,10.350794857595282,3.2172651208122844
AE,CNN,106.92956937678362,10.340675479715221
AE,RNN,48.65690733945547,6.9754503323767905
AE,GRU,61.560472096423986,7.846048183412079
AE,LSTM,1.0929529681871153,1.0454439096322266
MA AE,CNN,53.867189632936274,7.339427064351568
MA AE,RNN,56.40913336364765,7.510601398266829
MA AE,GRU,56.83529380088453,7.538918609514532
MA AE,LSTM,45.314220872794166,6.731583830926728
HY,LSTM,203.3491976802378,14.260056019533648
HY,LSTM RNN GRU,64.6457034169831,8.04025518357366
HY,CNN RNN GRU,29.089568612494936,5.393474632599558
HY,CNN GRU,224.91594780446772,14.997197998441832
HY,RNN GRU,223.59151062726764,14.952976647720266
HY,RNN LSTM,235.99057622961294,15.361984775074246
MA HY,CNN LSTM,245.06290272057075,15.654485067244172
MA HY,LSTM RNN GRU,48.488201118280536,6.963346976726101
MA HY,CNN RNN GRU,29.078920313354267,5.3924873957529345
MA HY,CNN GRU,215.78025272536755,14.68946060021836
MA HY,RNN GRU,213.69462547953825,14.618297625904948
MA HY,RNN LSTM,252.43648551016602,15.888249919678568
