Date,Param,Values
0,12/15/2021,Temperature,21.2
1,12/16/2021,Temperature,21.1
2,12/17/2021,Temperature,20.94
3,12/18/2021,Temperature,20.94
4,12/19/2021,Temperature,21.19
5,12/20/2021,Temperature,20.87
6,12/21/2021,Temperature,20.95
7,12/22/2021,Temperature,21.05
8,12/23/2021,Temperature,21.05
9,12/24/2021,Temperature,20.91
10,12/25/2021,Temperature,21.02
11,12/26/2021,Temperature,20.97
12,12/27/2021,Temperature,20.9
13,12/28/2021,Temperature,20.83
14,12/29/2021,Temperature,20.94
15,12/30/2021,Temperature,20.8
16,12/31/2021,Temperature,20.56
17,1/1/2022,Temperature,20.45
18,1/2/2022,Temperature,20.24
19,1/3/2022,Temperature,20.32
20,1/4/2022,Temperature,20.28
21,1/5/2022,Temperature,20.32
22,1/6/2022,Temperature,20.35
23,1/7/2022,Temperature,20.23
24,1/8/2022,Temperature,20.79
25,1/9/2022,Temperature,20.77
26,1/10/2022,Temperature,20.27
27,1/11/2022,Temperature,20.38
28,1/12/2022,Temperature,20.72
29,1/13/2022,Temperature,20.48
30,1/14/2022,Temperature,20.78
31,1/15/2022,Temperature,20.2
32,1/16/2022,Temperature,20.04
33,1/17/2022,Temperature,20.1
34,1/18/2022,Temperature,20.15
35,1/19/2022,Temperature,20.1
36,1/20/2022,Temperature,20.14
37,1/21/2022,Temperature,20.19
38,1/22/2022,Temperature,20.09
39,1/23/2022,Temperature,20.1
40,1/24/2022,Temperature,20.11
41,1/25/2022,Temperature,20.15
42,1/26/2022,Temperature,20.05
43,1/27/2022,Temperature,20.04
44,1/28/2022,Temperature,20.07
45,1/29/2022,Temperature,20.17
46,1/30/2022,Temperature,20.0
47,1/31/2022,Temperature,20.5
48,2/1/2022,Temperature,20.31
49,2/2/2022,Temperature,20.6
50,2/3/2022,Temperature,20.48
51,2/4/2022,Temperature,20.05
52,2/5/2022,Temperature,20.09
53,2/6/2022,Temperature,20.21
54,2/7/2022,Temperature,20.26
55,2/8/2022,Temperature,20.3
56,2/9/2022,Temperature,20.27
57,2/10/2022,Temperature,20.43
58,2/11/2022,Temperature,20.09
59,2/12/2022,Temperature,20.02
60,2/13/2022,Temperature,20.44
61,2/14/2022,Temperature,20.3
62,2/15/2022,Temperature,20.6
63,2/16/2022,Temperature,21.14
64,2/17/2022,Temperature,21.92
65,2/18/2022,Temperature,21.64
66,2/19/2022,Temperature,20.83
67,2/20/2022,Temperature,21.15
68,2/21/2022,Temperature,21.97
69,2/22/2022,Temperature,21.77
70,2/23/2022,Temperature,21.3
71,2/24/2022,Temperature,21.46
72,2/25/2022,Temperature,21.53
73,2/26/2022,Temperature,20.67
74,2/27/2022,Temperature,21.25
75,2/28/2022,Temperature,22.0
76,3/1/2022,Temperature,22.29
77,3/2/2022,Temperature,22.37
78,3/3/2022,Temperature,23.88
79,3/4/2022,Temperature,24.42
80,3/5/2022,Temperature,24.16
81,3/6/2022,Temperature,23.88
82,3/7/2022,Temperature,23.49
83,3/8/2022,Temperature,22.81
84,3/9/2022,Temperature,23.02
85,3/10/2022,Temperature,22.73
86,3/11/2022,Temperature,23.88
87,3/12/2022,Temperature,23.48
88,3/13/2022,Temperature,23.71
89,3/14/2022,Temperature,22.13
90,3/15/2022,Temperature,24.6
91,3/16/2022,Temperature,25.23
92,3/17/2022,Temperature,26.51
93,3/18/2022,Temperature,26.45
94,3/19/2022,Temperature,26.27
95,3/20/2022,Temperature,25.68
96,3/21/2022,Temperature,26.12
97,3/22/2022,Temperature,25.65
98,3/23/2022,Temperature,26.89
99,3/24/2022,Temperature,25.92
100,3/25/2022,Temperature,26.16
101,3/26/2022,Temperature,25.05
102,3/27/2022,Temperature,26.71
103,3/28/2022,Temperature,25.31
104,3/29/2022,Temperature,25.59
105,3/30/2022,Temperature,26.9
106,3/31/2022,Temperature,27.09
107,4/1/2022,Temperature,27.35
108,4/2/2022,Temperature,28.3
109,4/3/2022,Temperature,27.63
110,4/4/2022,Temperature,28.59
111,4/5/2022,Temperature,28.48
112,4/6/2022,Temperature,27.41
113,4/7/2022,Temperature,28.21
114,4/8/2022,Temperature,27.07
115,4/9/2022,Temperature,28.85
116,4/10/2022,Temperature,28.79
117,4/11/2022,Temperature,28.35
118,4/12/2022,Temperature,28.67
119,4/13/2022,Temperature,28.54
120,4/14/2022,Temperature,27.62
121,4/15/2022,Temperature,28.9
122,4/16/2022,Temperature,30.24
123,4/17/2022,Temperature,30.94
124,4/18/2022,Temperature,30.99
125,4/19/2022,Temperature,31.0
126,4/20/2022,Temperature,30.5
127,4/21/2022,Temperature,29.71
128,4/22/2022,Temperature,31.36
129,4/23/2022,Temperature,29.95
130,4/24/2022,Temperature,29.71
131,4/25/2022,Temperature,30.4
132,4/26/2022,Temperature,29.23
133,4/27/2022,Temperature,30.66
134,4/28/2022,Temperature,28.95
135,4/29/2022,Temperature,29.1
136,4/30/2022,Temperature,31.5
137,5/1/2022,Temperature,32.31
138,5/2/2022,Temperature,31.63
139,5/3/2022,Temperature,32.44
140,5/4/2022,Temperature,32.2
141,5/5/2022,Temperature,31.53
142,5/6/2022,Temperature,31.98
143,5/7/2022,Temperature,31.55
144,5/8/2022,Temperature,31.6
145,5/9/2022,Temperature,31.9
146,5/10/2022,Temperature,31.94
147,5/11/2022,Temperature,31.78
