Metrics,Model Category,Model,y
MSE,General,CNN,11.242598603366211
MSE,General,RNN,1.0502232796508786
MSE,General,GRU,0.8485947030747335
MSE,General,LSTM,0.8095488744560131
MSE,MA,CNN,1.9283027875968013
MSE,MA,RNN,0.07434560083625232
MSE,MA,GRU,0.08008528666629168
MSE,MA,LSTM,0.1556572612406858
MSE,DReg,CNN,0.9667500919256082
MSE,DReg,RNN,0.014505230184315666
MSE,DReg,GRU,0.01577965014199894
MSE,DReg,LSTM,0.0162232059211931
MSE,MA DReg,CNN,2.122395629145756
MSE,MA DReg,RNN,0.10102222577327528
MSE,MA DReg,GRU,0.2086578563141576
MSE,MA DReg,LSTM,0.1313389089739941
MSE,HY,CNN LSTM,0.8987149417347529
MSE,HY,LSTM RNN GRU,0.013745555996284346
MSE,HY,CNN RNN GRU,0.8896287100868245
MSE,HY,CNN GRU,0.8714701822221944
MSE,HY,RNN GRU,0.013506766851719225
MSE,HY,RNN LSTM,0.015586941080753777
MSE,MA HY,CNN LSTM,0.8830280667082655
MSE,MA HY,LSTM RNN GRU,0.08986909530770766
MSE,MA HY,CNN RNN GRU,0.8868004959592802
MSE,MA HY,CNN GRU,0.8904462758061192
MSE,MA HY,RNN GRU,0.03170931837273641
MSE,MA HY,RNN LSTM,0.07082989409797452
RMSE,General,CNN,3.3529984496516265
RMSE,General,RNN,1.0248040201184219
RMSE,General,GRU,0.9211920011999309
RMSE,General,LSTM,0.8997493397919295
RMSE,MA,CNN,1.3886334244849508
RMSE,MA,RNN,0.2726638971999269
RMSE,MA,GRU,0.2829934392636898
RMSE,MA,LSTM,0.39453423329374826
RMSE,DReg,CNN,0.9832345050523849
RMSE,DReg,RNN,0.12043766098822936
RMSE,DReg,GRU,0.1256170774297784
RMSE,DReg,LSTM,0.1273703494585498
RMSE,MA DReg,CNN,1.456844408008541
RMSE,MA DReg,RNN,0.3178399373478344
RMSE,MA DReg,GRU,0.4567908233690313
RMSE,MA DReg,LSTM,0.36240710392319037
RMSE,HY,CNN LSTM,0.9480057709395828
RMSE,HY,LSTM RNN GRU,0.11724144316872062
RMSE,HY,CNN RNN GRU,0.9432013094174672
RMSE,HY,CNN GRU,0.9335256730386124
RMSE,HY,RNN GRU,0.11621861663141247
RMSE,HY,RNN LSTM,0.12484767150713616
RMSE,MA HY,CNN LSTM,0.9396957309194639
RMSE,MA HY,LSTM RNN GRU,0.29978174612158703
RMSE,MA HY,CNN RNN GRU,0.9417008526911719
RMSE,MA HY,CNN GRU,0.9436346092668069
RMSE,MA HY,RNN GRU,0.178071104822586
RMSE,MA HY,RNN LSTM,0.2661388624345842
MAE,General,CNN,2.365943944721172
MAE,General,RNN,0.8675844296233522
MAE,General,GRU,0.8268596988254123
MAE,General,LSTM,0.8065529427263471
MAE,MA,CNN,1.1242404556108845
MAE,MA,RNN,0.21509801357984543
MAE,MA,GRU,0.25850750923156735
MAE,MA,LSTM,0.2786919913689295
MAE,DReg,CNN,0.8400529114405314
MAE,DReg,RNN,0.09438610272068115
MAE,DReg,GRU,0.09854405440286629
MAE,DReg,LSTM,0.09130329777590102
MAE,MA DReg,CNN,1.1856143059571171
MAE,MA DReg,RNN,0.2514241797063086
MAE,MA DReg,GRU,0.4116770053572125
MAE,MA DReg,LSTM,0.3172546539041731
MAE,HY,CNN LSTM,0.780039677090115
MAE,HY,LSTM RNN GRU,0.08827771848067639
MAE,HY,CNN RNN GRU,0.7848151217566596
MAE,HY,CNN GRU,0.7922698717647129
MAE,HY,RNN GRU,0.09018505410187773
MAE,HY,RNN LSTM,0.09323223401481905
MAE,MA HY,CNN LSTM,0.7867737489938736
MAE,MA HY,LSTM RNN GRU,0.2553778518570794
MAE,MA HY,CNN RNN GRU,0.785698454313808
MAE,MA HY,CNN GRU,0.7845982022417917
MAE,MA HY,RNN GRU,0.1497994246747759
MAE,MA HY,RNN LSTM,0.197765997449557
R2,General,CNN,-12.28555753507796
R2,General,RNN,-0.24106554887606912
R2,General,GRU,-0.002797853895285307
R2,General,LSTM,0.04334322264047963
R2,MA,CNN,-1.2787060655174427
R2,MA,RNN,0.9121446213427712
R2,MA,GRU,0.9053619433322418
R2,MA,LSTM,0.8160573393284182
R2,DReg,CNN,-0.14242395565682942
R2,DReg,RNN,0.9828589388475032
R2,DReg,GRU,0.9813529365193063
R2,DReg,LSTM,0.9808287796021736
R2,MA DReg,CNN,-1.5080686625929376
R2,MA DReg,RNN,0.880620429476987
R2,MA DReg,GRU,0.7534256933821555
R2,MA DReg,LSTM,0.8447947228814243
R2,HY,CNN LSTM,-0.062025736868012826
R2,HY,LSTM RNN GRU,0.983756657914871
R2,HY,CNN RNN GRU,-0.05128839245197625
R2,HY,CNN GRU,-0.029830171340566203
R2,HY,RNN GRU,0.9840388388439243
R2,HY,RNN LSTM,0.9815806638811937
R2,MA HY,CNN LSTM,-0.04348830721651087
R2,MA HY,LSTM RNN GRU,0.8938002610910201
R2,MA HY,CNN RNN GRU,-0.047946246846799045
R2,MA HY,CNN GRU,-0.05225452286235521
R2,MA HY,RNN GRU,0.9625285942777537
R2,MA HY,RNN LSTM,0.9162991878976836
