ModelCat,Model,MSE,RMSE
General,CNN,4.524475890091831,2.1270815428873036
General,RNN,0.01645111327112461,0.12826189329307675
General,GRU,0.016147971846246265,0.12707467035663034
General,LSTM,0.01447389726334459,0.12030751125073028
MA,CNN,60.19738136506695,7.758697143532989
MA,RNN,0.09711422755440055,0.3116315573789031
MA,GRU,0.08008528666629168,0.2829934392636898
MA,LSTM,0.19121750306372118,0.4372842360109968
AE,CNN,3.372875905472523,1.8365391107930489
AE,RNN,0.023401857691453046,0.15297665734174298
AE,GRU,0.024570896226559863,0.1567510645149176
AE,LSTM,0.040929936116343685,0.20231148290777684
MA AE,CNN,3.388118554094824,1.8406842624673099
MA AE,RNN,0.10102222577327528,0.3178399373478344
MA AE,GRU,0.2086578563141576,0.4567908233690313
MA AE,LSTM,0.1313389089739941,0.36240710392319037
HY,HY CNN LSTM,0.8463159825088968,0.9199543371868502
HY,HY LSTM RNN GRU,0.01428897174952797,0.11953648710551926
HY,HY CNN RNN GRU,0.8597834963634574,0.9272451112642532
HY,HY CNN GRU,0.8474073074118397,0.9205472868961375
HY,HY RNN GRU,0.013506766851719225,0.11621861663141247
HY,HY RNN LSTM,0.016504818917139546,0.1284710820268108
MA HY,MA HY CNN LSTM,0.8529983089853871,0.9235790756537239
MA HY,MA HY LSTM RNN GRU,0.16420279434110827,0.40521943973741964
MA HY,MA HY CNN RNN GRU,0.8758877830036842,0.9358887663625866
MA HY,MA HY CNN GRU,0.8462294727048443,0.9199073174536901
MA HY,MA HY RNN GRU,0.13572715229670745,0.36841166145591464
MA HY,MA HY RNN LSTM,0.07485679377293734,0.27359969622230457
