index,Location,Metrics,Model Category,Model,y
0,S1,MSE,General,CNN,-2.9635749230567208
1,S1,MSE,General,RNN,-0.5470054752998739
2,S1,MSE,General,GRU,-0.0080173263204339
3,S1,MSE,General,LSTM,-0.0054863398148858
4,S1,MSE,MA,CNN,-1.713352583026993
5,S1,MSE,MA,RNN,0.9342263987166304
6,S1,MSE,MA,GRU,0.8489553246068501
7,S1,MSE,MA,LSTM,0.3699731476813745
8,S1,MSE,DReg,CNN,-0.1153414335037803
9,S1,MSE,DReg,RNN,0.971880661679583
10,S1,MSE,DReg,GRU,0.9754103584116036
11,S1,MSE,DReg,LSTM,0.981829074467846
12,S1,MSE,MA DReg,CNN,-1.4496648425840153
13,S1,MSE,MA DReg,RNN,0.8623032070166171
14,S1,MSE,MA DReg,GRU,0.8590493204159263
15,S1,MSE,MA DReg,LSTM,0.6096770703530598
16,S1,MSE,HY,CNN LSTM,-0.0968453788212959
17,S1,MSE,HY,RNN LSTM GRU,0.9798887330032012
18,S1,MSE,HY,CNN RNN GRU,-0.0418534403878305
19,S1,MSE,HY,CNN GRU,-0.0363658177349854
20,S1,MSE,HY,RNN GRU,0.9773743719572104
21,S1,MSE,HY,RNN LSTM,0.9782594319325052
22,S1,MSE,MA HY,CNN LSTM,-0.0602711562478359
23,S1,MSE,MA HY,RNN LSTM GRU,0.8211126742766096
24,S1,MSE,MA HY,CNN RNN GRU,0.0059096297680356
25,S1,MSE,MA HY,CNN GRU,-0.0535106528108852
26,S1,MSE,MA HY,RNN GRU,0.8431377041405966
27,S1,MSE,MA HY,RNN LSTM,0.8269226866458105
28,S2,MSE,General,CNN,11.242598603366211
29,S2,MSE,General,RNN,1.0502232796508786
30,S2,MSE,General,GRU,0.8485947030747335
31,S2,MSE,General,LSTM,0.8095488744560131
32,S2,MSE,MA,CNN,1.9283027875968013
33,S2,MSE,MA,RNN,0.0743456008362523
34,S2,MSE,MA,GRU,0.0800852866662916
35,S2,MSE,MA,LSTM,0.1556572612406858
36,S2,MSE,DReg,CNN,0.9667500919256082
37,S2,MSE,DReg,RNN,0.0145052301843156
38,S2,MSE,DReg,GRU,0.0157796501419989
39,S2,MSE,DReg,LSTM,0.0162232059211931
40,S2,MSE,MA DReg,CNN,2.122395629145756
41,S2,MSE,MA DReg,RNN,0.1010222257732752
42,S2,MSE,MA DReg,GRU,0.2086578563141576
43,S2,MSE,MA DReg,LSTM,0.1313389089739941
44,S2,MSE,HY,CNN LSTM,0.8987149417347529
45,S2,MSE,HY,RNN LSTM GRU,0.0137455559962843
46,S2,MSE,HY,CNN RNN GRU,0.8896287100868245
47,S2,MSE,HY,CNN GRU,0.8714701822221944
48,S2,MSE,HY,RNN GRU,0.0135067668517192
49,S2,MSE,HY,RNN LSTM,0.0155869410807537
50,S2,MSE,MA HY,CNN LSTM,0.8830280667082655
51,S2,MSE,MA HY,RNN LSTM GRU,0.0898690953077076
52,S2,MSE,MA HY,CNN RNN GRU,0.8868004959592802
53,S2,MSE,MA HY,CNN GRU,0.8904462758061192
54,S2,MSE,MA HY,RNN GRU,0.0317093183727364
55,S2,MSE,MA HY,RNN LSTM,0.0708298940979745
56,S3,MSE,General,CNN,3.254179279271085
57,S3,MSE,General,RNN,1.0575856777869166
58,S3,MSE,General,GRU,0.8409685200089095
59,S3,MSE,General,LSTM,0.7467537301278961
60,S3,MSE,MA,CNN,1.637881780552478
61,S3,MSE,MA,RNN,0.0379354334414048
