Model,MSE,RMSE
cnn,2263130.09182124,1504.3703306770044
rnn,2339298.1765251723,1529.4764386956645
gru,2339254.0000646794,1529.4619969337843
lstm,2356110.5581296836,1534.9627220651594
mvg_cnn,1954159.6580812319,1397.912607454855
mvg_rnn,2333224.4757291228,1527.4895992212591
mvg_gru,2338294.354039166,1529.1482446248192
mvg_lstm,2341180.2366124177,1530.0915778516062
auto_cnn,957264.898212493,978.3991507623527
auto_rnn,2338717.176593325,1529.2864926472491
auto_gru,2340098.0968083153,1529.7379176866589
auto_lstm,2332465.9935731143,1527.2413016852033
mvg_auto_cnn,273131.2614565556,522.6196144965817
mvg_auto_rnn,2339820.9566923543,1529.6473308224854
mvg_auto_gru,2341382.756172902,1530.1577553222746
mvg_auto_lstm,2344687.2340110913,1531.2371579905875
hybrid_cnn_lstm,2348797.9439860163,1532.5788540841925
hybrid_lstm_rnn_gru,2332606.553208133,1527.2873184859925
hybrid_cnn_rnn_gru,2336479.9063006365,1528.5548424249084
hybrid_cnn_gru,2348607.362174389,1532.5166759857425
hybrid_rnn_gru,2347272.1807115935,1532.0809967856117
hybrid_rnn_lstm,2349025.391950329,1532.6530566146823
mavg_hybrid_cnn_lstm,2346169.783392057,1531.7211833072156
mavg_hybrid_lstm_rnn_gru,2333855.6895637866,1527.6962032955985
mavg_hybrid_cnn_rnn_gru,2331478.6300025955,1526.9180167915354
mavg_hybrid_cnn_gru,2349636.2648431985,1532.8523297575662
mavg_hybrid_rnn_gru,2347154.72309882,1532.0426636026884
mavg_hybrid_rnn_lstm,2347460.190672238,1532.1423532662486
