index,Location,Metrics,Model Category,Model,y
0,S1,R2,General,CNN,-2.9635749230567208
1,S1,R2,General,RNN,-0.5470054752998739
2,S1,R2,General,GRU,-0.0080173263204339
3,S1,R2,General,LSTM,-0.0054863398148858
4,S1,R2,MA,CNN,-1.713352583026993
5,S1,R2,MA,RNN,0.9342263987166304
6,S1,R2,MA,GRU,0.8489553246068501
7,S1,R2,MA,LSTM,0.3699731476813745
8,S1,R2,DReg,CNN,-0.1153414335037803
9,S1,R2,DReg,RNN,0.971880661679583
10,S1,R2,DReg,GRU,0.9754103584116036
11,S1,R2,DReg,LSTM,0.981829074467846
12,S1,R2,MA DReg,CNN,-1.4496648425840153
13,S1,R2,MA DReg,RNN,0.8623032070166171
14,S1,R2,MA DReg,GRU,0.8590493204159263
15,S1,R2,MA DReg,LSTM,0.6096770703530598
16,S1,R2,HY,CNN LSTM,-0.0968453788212959
17,S1,R2,HY,LSTM RNN GRU,0.9798887330032012
18,S1,R2,HY,CNN RNN GRU,-0.0418534403878305
19,S1,R2,HY,CNN GRU,-0.0363658177349854
20,S1,R2,HY,RNN GRU,0.9773743719572104
21,S1,R2,HY,RNN LSTM,0.9782594319325052
22,S1,R2,MA HY,CNN LSTM,-0.0602711562478359
23,S1,R2,MA HY,LSTM RNN GRU,0.8211126742766096
24,S1,R2,MA HY,CNN RNN GRU,0.0059096297680356
25,S1,R2,MA HY,CNN GRU,-0.0535106528108852
26,S1,R2,MA HY,RNN GRU,0.8431377041405966
27,S1,R2,MA HY,RNN LSTM,0.8269226866458105
28,S2,R2,General,CNN,-12.28555753507796
29,S2,R2,General,RNN,-0.2410655488760691
30,S2,R2,General,GRU,-0.0027978538952853
31,S2,R2,General,LSTM,0.0433432226404796
32,S2,R2,MA,CNN,-1.2787060655174427
33,S2,R2,MA,RNN,0.9121446213427712
34,S2,R2,MA,GRU,0.9053619433322418
35,S2,R2,MA,LSTM,0.8160573393284182
36,S2,R2,DReg,CNN,-0.1424239556568294
37,S2,R2,DReg,RNN,0.9828589388475032
38,S2,R2,DReg,GRU,0.9813529365193064
39,S2,R2,DReg,LSTM,0.9808287796021736
40,S2,R2,MA DReg,CNN,-1.5080686625929376
41,S2,R2,MA DReg,RNN,0.880620429476987
42,S2,R2,MA DReg,GRU,0.7534256933821555
43,S2,R2,MA DReg,LSTM,0.8447947228814243
44,S2,R2,HY,CNN LSTM,-0.0620257368680128
45,S2,R2,HY,LSTM RNN GRU,0.983756657914871
46,S2,R2,HY,CNN RNN GRU,-0.0512883924519762
47,S2,R2,HY,CNN GRU,-0.0298301713405662
