Metrics,Model Category,Model,y
MSE,General,CNN,0.5625731025740361
MSE,General,RNN,82.27152270930767
MSE,General,GRU,61.07711541484954
MSE,General,LSTM,25.847685464808286
MSE,MA,CNN,0.7496747408044816
MSE,MA,RNN,130.3536217970857
MSE,MA,GRU,93.89783622017961
MSE,MA,LSTM,29.082470102355924
MSE,DReg,CNN,0.5433556119645918
MSE,DReg,RNN,105.78038979309662
MSE,DReg,GRU,57.799506335963784
MSE,DReg,LSTM,2.15205106806277
MSE,MA DReg,CNN,0.5731050598263853
MSE,MA DReg,RNN,114.93078800174544
MSE,MA DReg,GRU,85.1445833216501
MSE,MA DReg,LSTM,56.08421363916734
MSE,HY,CNN LSTM,226.64479335372138
MSE,HY,LSTM RNN GRU,48.71808092792388
MSE,HY,CNN RNN GRU,29.16098915128001
MSE,HY,CNN GRU,256.6678316597929
MSE,HY,RNN GRU,276.9708369941594
MSE,HY,RNN LSTM,211.20940018159286
MSE,MA HY,CNN LSTM,272.9262871151061
MSE,MA HY,LSTM RNN GRU,68.1545226381101
MSE,MA HY,CNN RNN GRU,29.097871523878855
MSE,MA HY,CNN GRU,248.07364473189168
MSE,MA HY,RNN GRU,289.54435774383677
MSE,MA HY,RNN LSTM,258.8861091863949
RMSE,General,CNN,0.7500487334660569
RMSE,General,RNN,9.070365081368427
RMSE,General,GRU,7.815184925185682
RMSE,General,LSTM,5.084061906075523
RMSE,MA,CNN,0.8658375949359566
RMSE,MA,RNN,11.41725106131444
RMSE,MA,GRU,9.690089587830425
RMSE,MA,LSTM,5.392816527785451
RMSE,DReg,CNN,0.7371265915462498
RMSE,DReg,RNN,10.284959396764608
RMSE,DReg,GRU,7.602598656772813
RMSE,DReg,LSTM,1.4669870715390678
RMSE,MA DReg,CNN,0.7570370267208766
RMSE,MA DReg,RNN,10.720577783018294
RMSE,MA DReg,GRU,9.227382257262896
RMSE,MA DReg,LSTM,7.488939420182763
RMSE,HY,CNN LSTM,15.054726611723023
RMSE,HY,LSTM RNN GRU,6.979833875381554
RMSE,HY,CNN RNN GRU,5.400091587304794
RMSE,HY,CNN GRU,16.02085614627985
RMSE,HY,RNN GRU,16.6424408364326
RMSE,HY,RNN LSTM,14.533045110423103
RMSE,MA HY,CNN LSTM,16.520480837890467
RMSE,MA HY,LSTM RNN GRU,8.255575245742122
RMSE,MA HY,CNN RNN GRU,5.394244295902704
RMSE,MA HY,CNN GRU,15.75035379703871
RMSE,MA HY,RNN GRU,17.016002989651735
RMSE,MA HY,RNN LSTM,16.089938134946166
MAE,General,CNN,0.4884538470374216
MAE,General,RNN,7.331510378519694
MAE,General,GRU,5.8141611893971765
MAE,General,LSTM,4.394435539245606
MAE,MA,CNN,0.5643050511678064
MAE,MA,RNN,10.087819967269898
MAE,MA,GRU,8.083141055636936
MAE,MA,LSTM,4.595520523919
MAE,DReg,CNN,0.4869032764434818
MAE,DReg,RNN,8.788910409079659
MAE,DReg,GRU,5.561867651409574
MAE,DReg,LSTM,0.9828891075981991
MAE,MA DReg,CNN,0.5093897374471033
MAE,MA DReg,RNN,9.29409757614136
MAE,MA DReg,GRU,7.522504535251195
MAE,MA DReg,LSTM,5.438651758829753
MAE,HY,CNN LSTM,14.074729833602905
MAE,HY,LSTM RNN GRU,4.985230173534817
MAE,HY,CNN RNN GRU,4.58822374979655
MAE,HY,CNN GRU,15.103673796123928
MAE,HY,RNN GRU,15.761475371254814
MAE,HY,RNN LSTM,13.515298545625475
MAE,MA HY,CNN LSTM,15.632661203808254
MAE,MA HY,LSTM RNN GRU,6.333924196031358
MAE,MA HY,CNN RNN GRU,4.59635133319431
MAE,MA HY,CNN GRU,14.81641736984253
MAE,MA HY,RNN GRU,16.15543155564202
MAE,MA HY,RNN LSTM,15.176937123404608
R2,General,CNN,0.9802930267920159
R2,General,RNN,-1.8819769135674451
R2,General,GRU,-1.139535416098195
R2,General,LSTM,0.09455385866703181
R2,MA,CNN,0.9737388439579866
R2,MA,RNN,-3.56629604324318
R2,MA,GRU,-2.2892474492863553
R2,MA,LSTM,-0.018760862378239818
R2,DReg,CNN,0.980966216766496
R2,DReg,RNN,-2.7054940914249097
R2,DReg,GRU,-1.0247205520239806
R2,DReg,LSTM,0.9246135079219411
R2,MA DReg,CNN,0.9799240916288344
R2,MA DReg,RNN,-3.0260331493982626
R2,MA DReg,GRU,-1.9826204179463187
R2,MA DReg,LSTM,-0.9646337347464522
R2,HY,CNN LSTM,-6.939382188580693
R2,HY,LSTM RNN GRU,-0.7065976158443292
R2,HY,CNN RNN GRU,-0.02151138988547996
R2,HY,CNN GRU,-7.9910912177057885
R2,HY,RNN GRU,-8.702306845213084
R2,HY,RNN LSTM,-6.398679338931378
R2,MA HY,CNN LSTM,-8.560625993888754
R2,MA HY,LSTM RNN GRU,-1.3874574619489985
R2,MA HY,CNN RNN GRU,-0.019300375198757713
R2,MA HY,CNN GRU,-7.690036277898622
R2,MA HY,RNN GRU,-9.142758113519703
R2,MA HY,RNN LSTM,-8.068797627032149
