Metrics,Model Category,Model,y
MSE,General,CNN,0.9580453758441217
MSE,General,RNN,77.39069150735646
MSE,General,GRU,68.33655432213065
MSE,General,LSTM,18.542487395947074
MSE,MA,CNN,1.019848769925015
MSE,MA,RNN,110.58735824531482
MSE,MA,GRU,84.34474404537075
MSE,MA,LSTM,28.28070577629188
MSE,DReg,CNN,0.8637801647273591
MSE,DReg,RNN,82.26623194563773
MSE,DReg,GRU,65.48441992256433
MSE,DReg,LSTM,7.876896713980175
MSE,MA DReg,CNN,0.9259837139439191
MSE,MA DReg,RNN,127.31486051827135
MSE,MA DReg,GRU,65.44320587475184
MSE,MA DReg,LSTM,68.7332946670937
MSE,HY,CNN LSTM,252.02252624120462
MSE,HY,LSTM RNN GRU,46.860558468542145
MSE,HY,CNN RNN GRU,27.93071164597067
MSE,HY,CNN GRU,220.93437834832062
MSE,HY,RNN GRU,229.46951211783482
MSE,HY,RNN LSTM,223.94844418944697
MSE,MA HY,CNN LSTM,274.57295839652517
MSE,MA HY,LSTM RNN GRU,62.77824226317216
MSE,MA HY,CNN RNN GRU,27.905703592649484
MSE,MA HY,CNN GRU,269.16004034249835
MSE,MA HY,RNN GRU,273.8305779985645
MSE,MA HY,RNN LSTM,252.01208486450014
RMSE,General,CNN,0.9787979239067285
RMSE,General,RNN,8.797197934987961
RMSE,General,GRU,8.266592667001964
RMSE,General,LSTM,4.306098860447479
RMSE,MA,CNN,1.009875621017269
RMSE,MA,RNN,10.516052407881714
RMSE,MA,GRU,9.183939462200888
RMSE,MA,LSTM,5.317960678332614
RMSE,DReg,CNN,0.9293977430182188
RMSE,DReg,RNN,9.070073425592415
RMSE,DReg,GRU,8.09224443047566
RMSE,DReg,LSTM,2.8065809651567464
RMSE,MA DReg,CNN,0.9622804757158482
RMSE,MA DReg,RNN,11.283388698359698
RMSE,MA DReg,GRU,8.089697514416212
RMSE,MA DReg,LSTM,8.290554545209488
RMSE,HY,CNN LSTM,15.875217360439656
RMSE,HY,LSTM RNN GRU,6.845477227231287
RMSE,HY,CNN RNN GRU,5.284951432697435
RMSE,HY,CNN GRU,14.863861488466602
RMSE,HY,RNN GRU,15.148251124068244
RMSE,HY,RNN LSTM,14.964907089235368
RMSE,MA HY,CNN LSTM,16.57024316045257
RMSE,MA HY,LSTM RNN GRU,7.923272194186702
RMSE,MA HY,CNN RNN GRU,5.282584934731243
RMSE,MA HY,CNN GRU,16.406097657349793
RMSE,MA HY,RNN GRU,16.547826987207852
RMSE,MA HY,RNN LSTM,15.874888499277723
MAE,General,CNN,0.6386872058444552
MAE,General,RNN,7.111883055369058
MAE,General,GRU,6.505650767220391
MAE,General,LSTM,3.37107962820265
MAE,MA,CNN,0.6882673178778753
MAE,MA,RNN,9.13573716269599
MAE,MA,GRU,7.569043712615967
MAE,MA,LSTM,4.38402973069085
MAE,DReg,CNN,0.6352648819817435
MAE,DReg,RNN,7.435168475045098
MAE,DReg,GRU,6.305008207956949
MAE,DReg,LSTM,2.0278411515553794
MAE,MA DReg,CNN,0.6509214560190836
MAE,MA DReg,RNN,10.010033271577623
MAE,MA DReg,GRU,6.3014471350775825
MAE,MA DReg,LSTM,6.5331982061598035
MAE,HY,CNN LSTM,14.99690872616238
MAE,HY,LSTM RNN GRU,4.9176037036048035
MAE,HY,CNN RNN GRU,4.4042945946587455
MAE,HY,CNN GRU,13.921884598202174
MAE,HY,RNN GRU,14.225123599370319
MAE,HY,RNN LSTM,14.029719122780692
MAE,MA HY,CNN LSTM,15.730784053802488
MAE,MA HY,LSTM RNN GRU,6.111221525404188
MAE,MA HY,CNN RNN GRU,4.406248779296875
MAE,MA HY,CNN GRU,15.557783055835298
MAE,MA HY,RNN GRU,15.707147686216565
MAE,MA HY,RNN LSTM,14.996596954133773
R2,General,CNN,0.9646679800575662
R2,General,RNN,-1.8541126805058155
R2,General,GRU,-1.5202026553067793
R2,General,LSTM,0.31616648754377397
R2,MA,CNN,0.962388715622672
R2,MA,RNN,-3.0783817190933087
R2,MA,GRU,-2.110573104144278
R2,MA,LSTM,-0.042971956932263966
R2,DReg,CNN,0.9681444128059844
R2,DReg,RNN,-2.0339190825185782
R2,DReg,GRU,-1.4150180032800526
R2,DReg,LSTM,0.7095057511888443
R2,MA DReg,CNN,0.9658503909393549
R2,MA DReg,RNN,-3.6952798940617653
R2,MA DReg,GRU,-1.4134980590311312
R2,MA DReg,LSTM,-1.5348341520329671
R2,HY,CNN LSTM,-8.294408331391608
R2,HY,LSTM RNN GRU,-0.7281834744678175
R2,HY,CNN RNN GRU,-0.030064426762987484
R2,HY,CNN GRU,-7.147899941476446
R2,HY,RNN GRU,-7.462669496405002
R2,HY,RNN LSTM,-7.259056507847486
R2,MA HY,CNN LSTM,-9.126051945265617
R2,MA HY,LSTM RNN GRU,-1.3152161301744405
R2,MA HY,CNN RNN GRU,-0.029142147859561707
R2,MA HY,CNN GRU,-8.926427445786008
R2,MA HY,RNN GRU,-9.098673493589976
R2,MA HY,RNN LSTM,-8.294023260977147
