Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,0.021663459129179104,0.0940515315781037,0.9759922092834881,0.147185118572426
General,RNN,0.01996624271503132,0.08807466613749663,0.9778730915668076,0.1413019558075235
General,GRU,0.0202495012271194,0.08955519080162049,0.977559179968649,0.14230074218752128
General,LSTM,0.024418966620507913,0.10234152177969613,0.972938511959569,0.15626569239762103
MA,CNN,0.03646005784719871,0.12440135190884274,0.9595943827304816,0.19094516974042236
MA,RNN,0.0312905746835889,0.1285823121522036,0.965323286372528,0.1768914206048131
MA,GRU,0.020760141782571816,0.09141024176859193,0.9769932799656272,0.14408380124973041
MA,LSTM,0.025733315806920534,0.11201412632233566,0.9714819292408235,0.16041607091223914
DReg,CNN,0.024288227649489978,0.10096524701971148,0.9730833989711942,0.15584680827495306
DReg,RNN,0.02135700201863901,0.09506226441512505,0.9763318299382303,0.1461403504123314
DReg,GRU,0.019744173319472456,0.08579992927196951,0.9781191924106907,0.14051396129734745
DReg,LSTM,0.023272517972200632,0.0996800196584728,0.974209024625698,0.1525533282894891
MA DReg,CNN,0.02546558000505074,0.09973049263573355,0.9717786383240904,0.15957938464930468
MA DReg,RNN,0.03583182711703978,0.14815672460012136,0.960290598039468,0.18929296636969842
MA DReg,GRU,0.021120606383038906,0.0914241051259968,0.9765938073496835,0.14532930324968502
MA DReg,LSTM,0.025716778259566895,0.10763079210287994,0.9715002564144047,0.16036451683451328
HY,CNN LSTM,0.01943032954779154,0.08828874187750947,0.9784669990810505,0.13939271698260114
HY,LSTM RNN GRU,0.020995615117636604,0.09208838753402232,0.9767323246623285,0.14489863739054484
HY,CNN RNN GRU,0.021255895729581472,0.08673444279986951,0.9764438775393702,0.14579401815431753
HY,CNN GRU,0.019378192740719252,0.0918901920939485,0.9785247779216943,0.1392055772615424
HY,RNN GRU,0.02087728771392422,0.08878226376656026,0.9768634569772288,0.1444897495115976
HY,RNN LSTM,0.022661568176627414,0.09473354714612164,0.9748860889275233,0.15053759721952326
MA HY,CNN LSTM,0.026435655925821762,0.11751763434666726,0.9707035847259496,0.16259045459627008
MA HY,LSTM RNN GRU,0.021217233800740136,0.10112140694270945,0.9764867233051726,0.1456613668779067
MA HY,CNN RNN GRU,0.03136909810857158,0.13994401591519512,0.9652362654613205,0.17711323527216022
MA HY,CNN GRU,0.02923068740566533,0.12788614973425863,0.9676060862879572,0.17096984355629893
MA HY,RNN GRU,0.034153168201251534,0.13098316012985178,0.9621509146073041,0.18480575803056445
MA HY,RNN LSTM,0.025512683792740982,0.1261504389014509,0.9717264371557507,0.1597269037849948
